Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4375,0.4941,0.4375,0.4573,N/A,N/A,-0.1613,-0.1691
DecisionTree,Original,0.6875,0.7475,0.6875,0.6988,N/A,N/A,0.3651,0.388
KNN,Anonymous,0.6667,0.6266,0.6667,0.6319,N/A,N/A,0.1111,0.1206
KNN,Original,0.6146,0.5719,0.6146,0.5861,N/A,N/A,0.0034,0.0035
LogisticRegression,Anonymous,0.5625,0.5544,0.5625,0.5582,N/A,N/A,-0.037,-0.0371
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,N/A,N/A,0.5512,0.5674
RandomForest,Anonymous,0.5208,0.5374,0.5208,0.5283,N/A,N/A,-0.076,-0.0764
RandomForest,Original,0.7812,0.7763,0.7812,0.7779,N/A,N/A,0.4766,0.478
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,Original,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
