Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
LogisticRegression,CTGAN,0.5861,0.3461,0.5861,0.4352,,,-0.0027,-0.0198,0.2,,,,100.0,974477.0,260402
LogisticRegression,TVAE,0.5698,0.4918,0.5698,0.4927,0.6585,1.0818,0.0785,0.0962,0.2,,,,100.0,974477.0,260402
LogisticRegression,CTGAN,0.5532,0.5202,0.5532,0.5128,,,0.1756,0.1836,0.2,,,,1000.0,974477.0,260402
LogisticRegression,TVAE,0.564,0.4742,0.564,0.4791,0.6426,1.0986,0.0507,0.0648,0.2,,,,1000.0,974477.0,260402
LogisticRegression,CTGAN,0.5754,0.4742,0.5754,0.4827,,,0.0634,0.0836,0.2,,,,300.0,974477.0,260402
LogisticRegression,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
LogisticRegression,TVAE,0.5449,0.4992,0.5449,0.5011,0.6549,1.0776,0.1452,0.1521,0.2,,,,300.0,974477.0,260402
LogisticRegression,CTGAN,0.569,0.5318,0.569,0.5165,,,0.1592,0.1691,0.2,,,,500.0,974477.0,260402
LogisticRegression,TVAE,0.5836,0.5208,0.5836,0.4902,0.6622,1.2026,0.0827,0.1096,0.2,,,,500.0,974477.0,260402
LogisticRegression,CTGAN,0.5753,0.4954,0.5753,0.5152,,,0.141,0.1532,0.2,,,,300,10000,260402
LogisticRegression,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
LogisticRegression,TVAE,0.513,0.4932,0.513,0.4985,0.6241,1.1542,0.1069,0.1083,0.2,,,,300,10000,260402
