epochs,Dataset,Model,Precision
20.0,CTGAN,DecisionTree,0.5728199999999999
40.0,CTGAN,DecisionTree,0.58716
60.0,CTGAN,DecisionTree,0.60118
80.0,CTGAN,DecisionTree,0.57562
100.0,CTGAN,DecisionTree,0.588
120.0,CTGAN,DecisionTree,0.5977
150.0,CTGAN,DecisionTree,0.58324
200.0,CTGAN,DecisionTree,0.60568
200.0,TVAE,DecisionTree,0.56268
250.0,CTGAN,DecisionTree,0.5761200000000001
250.0,TVAE,DecisionTree,0.65116
300.0,CTGAN,DecisionTree,0.582975
300.0,GaussianCopula,DecisionTree,0.6330312499999999
300.0,TVAE,DecisionTree,0.56483125
400.0,CTGAN,DecisionTree,0.59276
400.0,TVAE,DecisionTree,0.63658
500.0,CTGAN,DecisionTree,0.60436
500.0,TVAE,DecisionTree,0.61216
1000.0,CTGAN,DecisionTree,0.5991
1000.0,TVAE,DecisionTree,0.6996
