Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,Original,0.6911,0.7354,0.6911,0.7019,,,0.3519,0.3658,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6179,0.5784,0.6179,0.592,,,0.0116,0.0121,,,,,,
RandomForest,Original,0.8293,0.8276,0.8293,0.82,,,0.5654,0.5806,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6341,0.6153,0.6341,0.6228,,,0.0972,0.0982,,,,,,
DecisionTree,Original,0.6829,0.7058,0.6829,0.6909,,,0.3031,0.3071,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.626,0.5846,0.626,0.598,,,0.0248,0.026,,,,,,
RandomForest,Original,0.8455,0.8501,0.8455,0.8351,,,0.6004,0.6242,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
