Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.4288,0.4201,0.4288,0.4241,,,-0.016,-0.016,0.2,2.0,5.0,0.01,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181,0.2,2.0,5.0,0.01,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.01,,
RandomForest,Anonymous,0.5645,0.4047,0.5645,0.4381,,,-0.0166,-0.0313,0.2,2.0,5.0,0.01,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.01,,
DecisionTree,Anonymous,0.4277,0.4219,0.4277,0.4246,,,-0.013,-0.013,0.2,2.0,5.0,0.05,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181,0.2,2.0,5.0,0.05,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.05,,
RandomForest,Anonymous,0.5632,0.4065,0.5632,0.4373,,,-0.0189,-0.0353,0.2,2.0,5.0,0.05,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.05,,
DecisionTree,Anonymous,0.4213,0.4175,0.4213,0.4193,,,-0.0205,-0.0205,0.2,2.0,5.0,0.1,,
KNN,Anonymous,0.5173,0.4963,0.5173,0.5046,,,0.1174,0.1181,0.2,2.0,5.0,0.1,,
LogisticRegression,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.1,,
RandomForest,Anonymous,0.5655,0.4062,0.5655,0.4382,,,-0.0163,-0.0312,0.2,2.0,5.0,0.1,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,2.0,5.0,0.1,,
