Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.8204,0.823,0.8204,0.8217,N/A,N/A,0.1435,0.1435
DecisionTree,Original,0.8743,0.8755,0.8743,0.8749,N/A,N/A,0.3972,0.3972
KNN,Anonymous,0.8766,0.8357,0.8766,0.8451,N/A,N/A,0.1344,0.166
KNN,Original,0.8821,0.8614,0.8821,0.8678,N/A,N/A,0.3004,0.3144
LogisticRegression,Anonymous,0.8828,0.809,0.8828,0.8282,N/A,N/A,0.001,0.0087
LogisticRegression,Original,0.8996,0.8838,0.8996,0.8851,N/A,N/A,0.3849,0.4104
RandomForest,Anonymous,0.8638,0.8298,0.8638,0.8424,N/A,N/A,0.1514,0.1633
RandomForest,Original,0.9047,0.8916,0.9047,0.8929,N/A,N/A,0.4326,0.4535
SVM,Anonymous,0.883,0.7797,0.883,0.8281,N/A,N/A,0.0,0.0
SVM,Original,0.8829,0.8361,0.8829,0.8302,N/A,N/A,0.014,0.0539
