Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4792,0.5274,0.4792,0.4965,N/A,N/A,-0.0929,-0.0963
DecisionTree,CTGAN,0.5104,0.554,0.5104,0.5261,N/A,N/A,-0.0358,-0.0369
DecisionTree,GaussianCopula,0.5833,0.5756,0.5833,0.5793,N/A,N/A,0.0123,0.0124
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,N/A,N/A,0.4146,0.4322
DecisionTree,TVAE,0.7292,0.7122,0.7292,0.7116,N/A,N/A,0.3067,0.3182
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,N/A,N/A,0.0231,0.0238
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,N/A,N/A,0.0476,0.0843
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,N/A,N/A,0.1298,0.1431
KNN,Original,0.6146,0.5719,0.6146,0.5861,N/A,N/A,0.0034,0.0035
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,N/A,N/A,-0.0206,-0.0692
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,N/A,N/A,-0.0543,-0.0812
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,N/A,N/A,0.0902,0.1454
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,N/A,N/A,0.2296,0.2851
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,N/A,N/A,0.5512,0.5674
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,N/A,N/A,0.0564,0.0619
RandomForest,Anonymous,0.4479,0.5007,0.4479,0.4669,N/A,N/A,-0.1491,-0.1553
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
RandomForest,GaussianCopula,0.7604,0.7733,0.7604,0.72,N/A,N/A,0.326,0.3925
RandomForest,Original,0.8333,0.8317,0.8333,0.8253,N/A,N/A,0.5817,0.5949
RandomForest,TVAE,0.625,0.6113,0.625,0.6171,N/A,N/A,0.0943,0.0948
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,N/A,N/A,-0.0206,-0.0692
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,Original,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
