age_0,age_1,age_2,age_3,age_4,age_5,age_6,marital_0,marital_1,marital_2,education_0,education_1,education_2,balance,contact_0,contact_1,pdays,previous,y
0,0,0,0,0,0,1,0,0,1,0,0,1,861,0,1,-1,0,no
0,0,0,0,0,1,0,0,1,0,0,0,1,4126,1,0,185,7,yes
0,0,0,0,0,1,1,0,1,0,0,0,1,244,1,0,-1,0,yes
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,-1,0,no
0,0,0,0,1,0,1,0,1,1,0,0,1,257,1,0,-1,0,no
0,0,0,0,1,0,0,0,1,1,0,0,1,1513,1,0,-1,0,no
0,0,0,0,1,1,0,0,1,1,0,1,0,4315,1,0,-1,0,no
0,0,0,0,1,1,1,0,1,1,0,1,0,-780,1,0,-1,0,no
0,0,0,0,1,1,1,0,1,1,0,1,0,474,1,1,-1,0,no
0,0,0,1,0,0,0,0,1,1,0,0,1,248,1,0,-1,0,no
0,0,0,1,0,0,1,0,1,1,0,1,0,262,1,0,-1,0,no
0,0,0,0,1,1,1,0,1,1,0,1,1,10333,1,1,-1,0,no
0,0,0,1,0,1,0,0,1,1,0,1,0,3567,1,0,-1,0,no
0,0,0,0,1,1,0,0,1,1,0,0,1,732,1,0,-1,0,no
0,0,0,1,0,1,1,0,0,1,0,0,1,679,1,0,-1,0,yes
0,0,0,1,0,1,1,0,1,1,0,0,1,506,1,0,-1,0,no
0,0,0,1,1,0,0,0,1,1,0,0,1,725,1,0,-1,0,no
0,0,0,1,1,0,1,0,1,1,0,1,0,523,1,0,-1,0,no
0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,-1,0,no
0,0,0,0,1,1,0,0,1,1,0,1,0,412,1,0,-1,0,no
0,0,0,1,1,1,1,0,1,0,0,0,1,-439,1,1,-1,0,no
0,0,0,0,0,1,1,0,1,1,0,0,1,72,1,1,-1,0,no
0,0,1,0,0,0,0,0,1,1,0,1,1,2715,1,1,-1,0,no
0,0,0,0,1,1,0,0,1,1,0,0,1,1772,1,0,-1,0,no
0,0,0,1,0,1,0,0,0,1,0,1,1,96,1,1,-1,0,no
0,0,0,1,1,0,1,0,1,1,0,1,0,249,0,1,-1,0,no
0,0,1,0,0,0,1,0,1,1,0,0,1,6127,1,0,-1,0,no
0,0,1,0,0,0,0,0,0,1,0,0,1,265,1,1,555,2,yes
0,0,1,0,0,0,1,0,1,0,0,1,0,1467,1,0,-1,0,no
0,0,1,0,0,1,0,0,1,1,0,0,1,370,1,1,-1,0,no
0,0,1,0,0,1,1,0,1,0,0,1,0,12,1,0,-1,0,no
0,0,1,0,1,0,0,0,1,1,0,1,1,26,1,1,-1,0,no
0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,-1,0,no
0,0,0,0,0,1,1,0,1,0,0,0,1,-228,1,0,362,2,no
0,0,0,1,1,0,1,0,1,1,0,0,1,230,1,0,-1,0,no
0,0,1,0,0,0,1,0,1,1,0,1,0,2685,1,1,-1,0,no
0,0,1,0,1,1,0,0,1,0,0,0,1,7400,1,0,-1,0,no
0,0,0,0,1,0,0,0,1,1,0,1,0,9207,1,0,-1,0,no
0,0,1,0,0,1,1,0,0,1,0,1,0,47,1,0,-1,0,no
0,0,1,0,1,1,1,0,1,1,0,1,0,177,1,1,-1,0,no
