Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.55,0.6034,0.55,0.5664,,,0.0641,0.0671
DecisionTree,Original,0.7042,0.72,0.7042,0.7101,,,0.3386,0.3411
DecisionTree,TVAE,0.5,0.5833,0.5,0.5186,,,0.0188,0.0208
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0
LogisticRegression,CTGAN,0.5833,0.6168,0.5833,0.5955,,,0.0975,0.0995
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343
LogisticRegression,TVAE,0.6208,0.5823,0.6208,0.5956,,,0.0192,0.02
RandomForest,CTGAN,0.5958,0.5682,0.5958,0.5795,,,-0.012,-0.0122
RandomForest,Original,0.8042,0.7981,0.8042,0.795,,,0.5057,0.5161
RandomForest,TVAE,0.5875,0.6011,0.5875,0.5936,,,0.0644,0.0647
