Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs
DecisionTree,CTGAN,0.5208,0.5735,0.5208,0.5381,,,0.0001,0.0002,1
DecisionTree,Original,0.7042,0.7228,0.7042,0.7108,,,0.3433,0.3467,1
DecisionTree,TVAE,0.575,0.5874,0.575,0.5807,,,0.0326,0.0327,1
KNN,CTGAN,0.7042,0.6855,0.7042,0.6181,,,0.0923,0.1557,1
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1
LogisticRegression,TVAE,0.6875,0.4775,0.6875,0.5636,,,-0.0083,-0.0432,1
RandomForest,CTGAN,0.6833,0.4766,0.6833,0.5616,,,-0.0165,-0.0612,1
RandomForest,Original,0.7792,0.7703,0.7792,0.7702,,,0.4471,0.4543,1
RandomForest,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1
DecisionTree,CTGAN,0.5,0.5703,0.5,0.5191,,,-0.0064,-0.0069,2
DecisionTree,Original,0.6958,0.7067,0.6958,0.7003,,,0.3101,0.3113,2
DecisionTree,TVAE,0.6292,0.5774,0.6292,0.5927,,,0.008,0.0086,2
KNN,CTGAN,0.5792,0.5744,0.5792,0.5767,,,0.0021,0.0021,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2
LogisticRegression,CTGAN,0.65,0.6526,0.65,0.6513,,,0.1855,0.1856,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2
LogisticRegression,TVAE,0.6333,0.5886,0.6333,0.6019,,,0.0315,0.0334,2
RandomForest,CTGAN,0.6,0.5673,0.6,0.5801,,,-0.0137,-0.014,2
RandomForest,Original,0.775,0.7656,0.775,0.7652,,,0.4344,0.4423,2
RandomForest,TVAE,0.6292,0.5586,0.6292,0.5785,,,-0.0271,-0.0308,2
