Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5113,0.519,0.5113,0.5149,,,0.1556,0.1557,0.2,10.0,2.0,0.1,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.1,,,
RandomForest,Anonymous,0.607,0.5623,0.607,0.5627,,,0.2069,0.2232,0.2,10.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.1,,,
DecisionTree,Anonymous,0.5154,0.523,0.5154,0.5189,,,0.1625,0.1626,0.2,20.0,2.0,0.1,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.1,,,
RandomForest,Anonymous,0.6073,0.5612,0.6073,0.5646,,,0.2117,0.2269,0.2,20.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.1,,,
DecisionTree,Anonymous,0.5159,0.5233,0.5159,0.5194,,,0.1631,0.1632,0.2,5.0,2.0,0.1,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.1,,,
RandomForest,Anonymous,0.6084,0.5628,0.6084,0.5643,,,0.2108,0.227,0.2,5.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.1,,,
DecisionTree,Anonymous,0.5127,0.5192,0.5127,0.5158,,,0.1562,0.1563,0.2,10.0,2.0,0.1,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.1,,,
RandomForest,Anonymous,0.6079,0.5622,0.6079,0.5625,,,0.2069,0.2238,0.2,10.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.1,,,
