Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5189,0.5251,0.5189,0.5218,,,0.1666,0.1667,0.2,10.0,2.0,0.01,,,
KNN,Anonymous,0.5172,0.4967,0.5172,0.5048,,,0.1178,0.1184,0.2,10.0,2.0,0.01,,,
LogisticRegression,Anonymous,0.6028,0.5204,0.6028,0.5149,,,0.1314,0.1669,0.2,10.0,2.0,0.01,,,
RandomForest,Anonymous,0.6078,0.5617,0.6078,0.5656,,,0.2134,0.2285,0.2,10.0,2.0,0.01,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.01,,,
DecisionTree,Anonymous,0.5113,0.519,0.5113,0.5149,,,0.1556,0.1557,0.2,10.0,2.0,0.1,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.1,,,
RandomForest,Anonymous,0.607,0.5623,0.607,0.5627,,,0.2069,0.2232,0.2,10.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.1,,,
DecisionTree,Anonymous,0.5124,0.521,0.5124,0.5164,,,0.159,0.1591,0.2,10.0,2.0,0.2,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.2,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.2,,,
RandomForest,Anonymous,0.6086,0.5629,0.6086,0.5644,,,0.211,0.2273,0.2,10.0,2.0,0.2,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.2,,,
DecisionTree,Anonymous,0.5134,0.5214,0.5134,0.5172,,,0.1598,0.1599,0.2,10.0,2.0,0.3,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.3,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.3,,,
RandomForest,Anonymous,0.6073,0.5605,0.6073,0.5628,,,0.2083,0.2243,0.2,10.0,2.0,0.3,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.3,,,
DecisionTree,Anonymous,0.5115,0.5194,0.5115,0.5152,,,0.1563,0.1564,0.2,10.0,2.0,0.5,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.5,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.5,,,
RandomForest,Anonymous,0.6082,0.5622,0.6082,0.564,,,0.2103,0.2264,0.2,10.0,2.0,0.5,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.5,,,
DecisionTree,Anonymous,0.5127,0.5192,0.5127,0.5158,,,0.1562,0.1563,0.2,10.0,2.0,0.1,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.1,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.1,,,
RandomForest,Anonymous,0.6079,0.5622,0.6079,0.5625,,,0.2069,0.2238,0.2,10.0,2.0,0.1,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.1,,,
