Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.8324,0.8379,0.8324,0.8351,0.6111,6.0425,0.215,0.2152
DecisionTree,CTGAN,0.819,0.8191,0.819,0.819,0.5621,6.5248,0.1242,0.1242
DecisionTree,Original,0.8331,0.8419,0.8331,0.8373,0.623,6.0146,0.2335,0.2341
KNN,Anonymous,0.878,0.8377,0.878,0.8457,0.6134,2.106,0.1358,0.1706
KNN,CTGAN,0.8769,0.8283,0.8769,0.8389,0.5953,2.3549,0.0874,0.1215
KNN,Original,0.8779,0.8378,0.8779,0.8459,0.6105,2.1223,0.1376,0.172
LogisticRegression,Anonymous,0.8945,0.8765,0.8945,0.8654,0.7581,0.3059,0.2439,0.3133
LogisticRegression,CTGAN,0.8931,0.872,0.8931,0.8661,0.6729,0.3355,0.2522,0.3098
LogisticRegression,Original,0.8944,0.8763,0.8944,0.8652,0.7584,0.3059,0.2427,0.3121
RandomForest,Anonymous,0.8923,0.8703,0.8923,0.8695,0.7829,0.3771,0.2813,0.3236
RandomForest,CTGAN,0.8923,0.8708,0.8923,0.8635,0.6705,0.3988,0.2346,0.2964
RandomForest,Original,0.894,0.8733,0.894,0.8706,0.7887,0.3671,0.2855,0.3323
