Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,CTGAN,0.5028,0.5072,0.5028,0.5045,,,0.1905,0.1907,0.3,,,,10.0,4424.0
DecisionTree,GaussianCopula,0.3842,0.3771,0.3842,0.3781,,,-0.0028,-0.0028,0.3,,,,10.0,4424.0
DecisionTree,TVAE,0.5548,0.5523,0.5548,0.5478,,,0.2738,0.2773,0.3,,,,10.0,4424.0
KNN,CTGAN,0.5085,0.4597,0.5085,0.4722,,,0.1413,0.1468,0.3,,,,10.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,10.0,4424.0
KNN,TVAE,0.5277,0.5051,0.5277,0.5001,,,0.1987,0.2042,0.3,,,,10.0,4424.0
LogisticRegression,CTGAN,0.6113,0.5115,0.6113,0.5547,,,0.3117,0.3294,0.3,,,,10.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,10.0,4424.0
LogisticRegression,TVAE,0.6701,0.6466,0.6701,0.6532,,,0.4488,0.4525,0.3,,,,10.0,4424.0
RandomForest,CTGAN,0.6395,0.5556,0.6395,0.5777,,,0.3617,0.3831,0.3,,,,10.0,4424.0
RandomForest,GaussianCopula,0.4881,0.4378,0.4881,0.4564,,,0.1202,0.1232,0.3,,,,10.0,4424.0
RandomForest,TVAE,0.7062,0.683,0.7062,0.6732,,,0.5043,0.5172,0.3,,,,10.0,4424.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,10.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,10.0,4424.0
SVM,TVAE,0.487,0.3626,0.487,0.3576,,,-0.0046,-0.0091,0.3,,,,10.0,4424.0
DecisionTree,CTGAN,0.5288,0.548,0.5288,0.537,,,0.2529,0.2539,0.3,,,,15.0,4424.0
DecisionTree,GaussianCopula,0.3977,0.3823,0.3977,0.3889,,,0.0002,0.0002,0.3,,,,15.0,4424.0
DecisionTree,TVAE,0.5955,0.6114,0.5955,0.6003,,,0.3569,0.3592,0.3,,,,15.0,4424.0
KNN,CTGAN,0.4814,0.4497,0.4814,0.4629,,,0.1267,0.1279,0.3,,,,15.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,15.0,4424.0
KNN,TVAE,0.5266,0.4688,0.5266,0.4911,,,0.185,0.1899,0.3,,,,15.0,4424.0
LogisticRegression,CTGAN,0.6475,0.5631,0.6475,0.5886,,,0.3711,0.3965,0.3,,,,15.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,15.0,4424.0
LogisticRegression,TVAE,0.7153,0.679,0.7153,0.6839,,,0.5146,0.5244,0.3,,,,15.0,4424.0
RandomForest,CTGAN,0.6475,0.58,0.6475,0.6029,,,0.3896,0.4017,0.3,,,,15.0,4424.0
RandomForest,GaussianCopula,0.5537,0.4923,0.5537,0.5019,,,0.2108,0.2273,0.3,,,,15.0,4424.0
RandomForest,TVAE,0.6949,0.6656,0.6949,0.6687,,,0.4899,0.4986,0.3,,,,15.0,4424.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214,0.3,,,,15.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,15.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,15.0,4424.0
DecisionTree,CTGAN,0.4994,0.4981,0.4994,0.4987,,,0.1858,0.1858,0.3,,,,20.0,4424.0
DecisionTree,GaussianCopula,0.3763,0.3723,0.3763,0.3709,,,-0.0084,-0.0085,0.3,,,,20.0,4424.0
DecisionTree,TVAE,0.5808,0.6108,0.5808,0.5855,,,0.3395,0.3469,0.3,,,,20.0,4424.0
KNN,CTGAN,0.5028,0.4634,0.5028,0.4725,,,0.1384,0.1426,0.3,,,,20.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,20.0,4424.0
KNN,TVAE,0.5322,0.51,0.5322,0.5169,,,0.216,0.218,0.3,,,,20.0,4424.0
LogisticRegression,CTGAN,0.635,0.5264,0.635,0.5749,,,0.3569,0.3757,0.3,,,,20.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,20.0,4424.0
LogisticRegression,TVAE,0.6723,0.6635,0.6723,0.6672,,,0.462,0.4625,0.3,,,,20.0,4424.0
RandomForest,CTGAN,0.6407,0.5694,0.6407,0.5916,,,0.3762,0.3898,0.3,,,,20.0,4424.0
RandomForest,GaussianCopula,0.5186,0.467,0.5186,0.4777,,,0.159,0.1679,0.3,,,,20.0,4424.0
RandomForest,TVAE,0.6847,0.6864,0.6847,0.6786,,,0.4882,0.4943,0.3,,,,20.0,4424.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214,0.3,,,,20.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,20.0,4424.0
SVM,TVAE,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214,0.3,,,,20.0,4424.0
DecisionTree,CTGAN,0.4825,0.5541,0.4825,0.5065,,,0.2158,0.2231,0.3,,,,25.0,4424.0
DecisionTree,GaussianCopula,0.3864,0.3791,0.3864,0.3816,,,-0.001,-0.001,0.3,,,,25.0,4424.0
DecisionTree,TVAE,0.5831,0.5851,0.5831,0.5787,,,0.3266,0.3304,0.3,,,,25.0,4424.0
KNN,CTGAN,0.4565,0.4672,0.4565,0.4613,,,0.1274,0.1276,0.3,,,,25.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,25.0,4424.0
KNN,TVAE,0.5424,0.5017,0.5424,0.509,,,0.2074,0.2137,0.3,,,,25.0,4424.0
LogisticRegression,CTGAN,0.5921,0.6229,0.5921,0.6049,,,0.3532,0.3553,0.3,,,,25.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,25.0,4424.0
LogisticRegression,TVAE,0.6927,0.6569,0.6927,0.6621,,,0.4757,0.4848,0.3,,,,25.0,4424.0
RandomForest,CTGAN,0.5503,0.623,0.5503,0.5772,,,0.3122,0.3202,0.3,,,,25.0,4424.0
RandomForest,GaussianCopula,0.5412,0.4951,0.5412,0.4712,,,0.172,0.2011,0.3,,,,25.0,4424.0
RandomForest,TVAE,0.696,0.6646,0.696,0.6615,,,0.4883,0.5013,0.3,,,,25.0,4424.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,25.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,25.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,25.0,4424.0
DecisionTree,CTGAN,0.5243,0.5299,0.5243,0.527,,,0.2305,0.2305,0.3,,,,30.0,4424.0
DecisionTree,GaussianCopula,0.3989,0.384,0.3989,0.3892,,,0.0086,0.0086,0.3,,,,30.0,4424.0
DecisionTree,TVAE,0.5876,0.5737,0.5876,0.5757,,,0.3195,0.3227,0.3,,,,30.0,4424.0
KNN,CTGAN,0.5266,0.4994,0.5266,0.5034,,,0.2066,0.211,0.3,,,,30.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,30.0,4424.0
KNN,TVAE,0.5672,0.5203,0.5672,0.5325,,,0.249,0.2568,0.3,,,,30.0,4424.0
LogisticRegression,CTGAN,0.6316,0.5204,0.6316,0.5705,,,0.3526,0.3711,0.3,,,,30.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,30.0,4424.0
LogisticRegression,TVAE,0.6904,0.6649,0.6904,0.6661,,,0.4711,0.4795,0.3,,,,30.0,4424.0
RandomForest,CTGAN,0.6508,0.5581,0.6508,0.5919,,,0.394,0.4116,0.3,,,,30.0,4424.0
RandomForest,GaussianCopula,0.5627,0.5142,0.5627,0.4967,,,0.2152,0.2462,0.3,,,,30.0,4424.0
RandomForest,TVAE,0.7073,0.6826,0.7073,0.6786,,,0.5063,0.5165,0.3,,,,30.0,4424.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214,0.3,,,,30.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,30.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,30.0,4424.0
DecisionTree,CTGAN,0.5492,0.549,0.5492,0.5478,,,0.2724,0.2731,0.3,,,,35.0,4424.0
DecisionTree,GaussianCopula,0.3876,0.3789,0.3876,0.3812,,,-0.0014,-0.0014,0.3,,,,35.0,4424.0
DecisionTree,TVAE,0.6328,0.635,0.6328,0.6325,,,0.4071,0.4082,0.3,,,,35.0,4424.0
KNN,CTGAN,0.4825,0.452,0.4825,0.46,,,0.1129,0.1151,0.3,,,,35.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,35.0,4424.0
KNN,TVAE,0.5379,0.4853,0.5379,0.4995,,,0.2068,0.2136,0.3,,,,35.0,4424.0
LogisticRegression,CTGAN,0.6373,0.5799,0.6373,0.6001,,,0.3718,0.3827,0.3,,,,35.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,35.0,4424.0
LogisticRegression,TVAE,0.6757,0.6508,0.6757,0.6589,,,0.4536,0.4576,0.3,,,,35.0,4424.0
RandomForest,CTGAN,0.6531,0.5939,0.6531,0.6095,,,0.402,0.414,0.3,,,,35.0,4424.0
RandomForest,GaussianCopula,0.548,0.486,0.548,0.493,,,0.1979,0.2158,0.3,,,,35.0,4424.0
RandomForest,TVAE,0.7119,0.6798,0.7119,0.6796,,,0.5139,0.525,0.3,,,,35.0,4424.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,35.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,35.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,35.0,4424.0
DecisionTree,CTGAN,0.5333,0.5193,0.5333,0.5255,,,0.2281,0.2286,0.3,,,,40.0,4424.0
DecisionTree,GaussianCopula,0.3831,0.3757,0.3831,0.3789,,,-0.0103,-0.0103,0.3,,,,40.0,4424.0
DecisionTree,TVAE,0.5548,0.5691,0.5548,0.5571,,,0.2904,0.2935,0.3,,,,40.0,4424.0
KNN,CTGAN,0.513,0.4665,0.513,0.4832,,,0.1632,0.1669,0.3,,,,40.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,40.0,4424.0
KNN,TVAE,0.5593,0.5236,0.5593,0.522,,,0.2459,0.2542,0.3,,,,40.0,4424.0
LogisticRegression,CTGAN,0.6667,0.5484,0.6667,0.5988,,,0.4033,0.4335,0.3,,,,40.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,40.0,4424.0
LogisticRegression,TVAE,0.7085,0.6822,0.7085,0.684,,,0.5054,0.513,0.3,,,,40.0,4424.0
RandomForest,CTGAN,0.6678,0.548,0.6678,0.5999,,,0.4075,0.4357,0.3,,,,40.0,4424.0
RandomForest,GaussianCopula,0.5458,0.4968,0.5458,0.4917,,,0.1938,0.2138,0.3,,,,40.0,4424.0
RandomForest,TVAE,0.696,0.6753,0.696,0.6596,,,0.4883,0.5045,0.3,,,,40.0,4424.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,40.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,40.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,40.0,4424.0
DecisionTree,CTGAN,0.504,0.5056,0.504,0.5043,,,0.191,0.1912,0.3,,,,45.0,4424.0
DecisionTree,GaussianCopula,0.3684,0.3601,0.3684,0.3623,,,-0.0304,-0.0306,0.3,,,,45.0,4424.0
DecisionTree,TVAE,0.6102,0.6081,0.6102,0.6086,,,0.3626,0.363,0.3,,,,45.0,4424.0
KNN,CTGAN,0.5153,0.4645,0.5153,0.4777,,,0.1504,0.1568,0.3,,,,45.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,45.0,4424.0
KNN,TVAE,0.5367,0.4919,0.5367,0.5078,,,0.21,0.2141,0.3,,,,45.0,4424.0
LogisticRegression,CTGAN,0.6384,0.5515,0.6384,0.5734,,,0.3444,0.3801,0.3,,,,45.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,45.0,4424.0
LogisticRegression,TVAE,0.6904,0.6714,0.6904,0.6787,,,0.486,0.4878,0.3,,,,45.0,4424.0
RandomForest,CTGAN,0.6678,0.5908,0.6678,0.6004,,,0.3997,0.4371,0.3,,,,45.0,4424.0
RandomForest,GaussianCopula,0.5311,0.4802,0.5311,0.4883,,,0.1858,0.1964,0.3,,,,45.0,4424.0
RandomForest,TVAE,0.7277,0.7144,0.7277,0.7189,,,0.5497,0.5513,0.3,,,,45.0,4424.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,45.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,45.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,45.0,4424.0
DecisionTree,CTGAN,0.5525,0.5434,0.5525,0.5457,,,0.2552,0.2567,0.3,,,,5.0,4424.0
DecisionTree,GaussianCopula,0.3774,0.382,0.3774,0.3758,,,0.0019,0.002,0.3,,,,5.0,4424.0
DecisionTree,TVAE,0.635,0.6429,0.635,0.6376,,,0.4136,0.4148,0.3,,,,5.0,4424.0
KNN,CTGAN,0.5198,0.4723,0.5198,0.4781,,,0.1493,0.158,0.3,,,,5.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,5.0,4424.0
KNN,TVAE,0.574,0.5445,0.574,0.5493,,,0.2715,0.2767,0.3,,,,5.0,4424.0
LogisticRegression,CTGAN,0.6667,0.5776,0.6667,0.6019,,,0.3995,0.4343,0.3,,,,5.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,5.0,4424.0
LogisticRegression,TVAE,0.7209,0.6849,0.7209,0.6924,,,0.5267,0.5349,0.3,,,,5.0,4424.0
RandomForest,CTGAN,0.6576,0.5415,0.6576,0.5908,,,0.3875,0.416,0.3,,,,5.0,4424.0
RandomForest,GaussianCopula,0.5582,0.5047,0.5582,0.5042,,,0.2111,0.2327,0.3,,,,5.0,4424.0
RandomForest,TVAE,0.7164,0.6965,0.7164,0.6967,,,0.5269,0.5335,0.3,,,,5.0,4424.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,5.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,5.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,5.0,4424.0
DecisionTree,CTGAN,0.4621,0.5265,0.4621,0.4838,,,0.1831,0.1888,0.3,,,,50.0,4424.0
DecisionTree,TVAE,0.5831,0.5793,0.5831,0.5794,,,0.3205,0.3216,0.3,,,,50.0,4424.0
KNN,CTGAN,0.4497,0.4502,0.4497,0.4499,,,0.1051,0.1052,0.3,,,,50.0,4424.0
KNN,TVAE,0.5469,0.5041,0.5469,0.5149,,,0.2308,0.2366,0.3,,,,50.0,4424.0
LogisticRegression,CTGAN,0.6023,0.5811,0.6023,0.587,,,0.3272,0.3315,0.3,,,,50.0,4424.0
LogisticRegression,TVAE,0.7073,0.6884,0.7073,0.6933,,,0.508,0.512,0.3,,,,50.0,4424.0
RandomForest,CTGAN,0.6203,0.6062,0.6203,0.6128,,,0.3759,0.3763,0.3,,,,50.0,4424.0
RandomForest,TVAE,0.7141,0.6921,0.7141,0.6952,,,0.5224,0.5279,0.3,,,,50.0,4424.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214,0.3,,,,50.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,4424.0
DecisionTree,CTGAN,0.4927,0.5318,0.4927,0.5041,,,0.2173,0.2215,0.3,,,,50.0,44240.0
DecisionTree,GaussianCopula,0.3921,0.3862,0.3921,0.3871,,,0.0075,0.0076,0.3,,,,50.0,44240.0
DecisionTree,TVAE,0.5921,0.6213,0.5921,0.5991,,,0.3594,0.3647,0.3,,,,50.0,44240.0
