epochs,Dataset,Model,F1
20.0,CTGAN,KNN,0.5894
40.0,CTGAN,KNN,0.59194
60.0,CTGAN,KNN,0.5828599999999999
80.0,CTGAN,KNN,0.59248
100.0,CTGAN,KNN,0.5802400000000001
120.0,CTGAN,KNN,0.59374
150.0,CTGAN,KNN,0.58892
200.0,CTGAN,KNN,0.51938
200.0,TVAE,KNN,0.5692
250.0,CTGAN,KNN,0.5902999999999999
250.0,TVAE,KNN,0.5692
300.0,CTGAN,KNN,0.5846
300.0,GaussianCopula,KNN,0.56696875
300.0,TVAE,KNN,0.5699875000000001
400.0,CTGAN,KNN,0.57734
400.0,TVAE,KNN,0.5692
500.0,CTGAN,KNN,0.5693400000000001
500.0,TVAE,KNN,0.5710599999999999
1000.0,CTGAN,KNN,0.56092
1000.0,TVAE,KNN,0.59064
