epochs,Dataset,Model,Precision
20.0,CTGAN,LogisticRegression,0.37127999999999994
20.0,TVAE,LogisticRegression,0.37366
40.0,CTGAN,LogisticRegression,0.32836
40.0,TVAE,LogisticRegression,0.5706800000000001
60.0,CTGAN,LogisticRegression,0.45045999999999997
60.0,TVAE,LogisticRegression,0.59734
80.0,CTGAN,LogisticRegression,0.46064
80.0,TVAE,LogisticRegression,0.5219199999999999
100.0,CTGAN,LogisticRegression,0.33516
100.0,TVAE,LogisticRegression,0.5784
120.0,CTGAN,LogisticRegression,0.2927
120.0,TVAE,LogisticRegression,0.59706
150.0,CTGAN,LogisticRegression,0.4579
150.0,TVAE,LogisticRegression,0.59568
200.0,CTGAN,LogisticRegression,0.39414
200.0,TVAE,LogisticRegression,0.65164
250.0,CTGAN,LogisticRegression,0.47585999999999995
250.0,TVAE,LogisticRegression,0.6411
300.0,CTGAN,LogisticRegression,0.5862
300.0,GaussianCopula,LogisticRegression,0.53089375
300.0,TVAE,LogisticRegression,0.6509750000000001
400.0,CTGAN,LogisticRegression,0.57412
400.0,TVAE,LogisticRegression,0.64958
500.0,CTGAN,LogisticRegression,0.6072599999999999
500.0,TVAE,LogisticRegression,0.66358
750.0,CTGAN,LogisticRegression,0.63206
750.0,TVAE,LogisticRegression,0.69524
1000.0,CTGAN,LogisticRegression,0.63778
1000.0,TVAE,LogisticRegression,0.67466
