epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,DecisionTree,0.50702
40.0,CTGAN,DecisionTree,0.49002
40.0,TVAE,DecisionTree,0.62864
60.0,CTGAN,DecisionTree,0.501
60.0,TVAE,DecisionTree,0.64926
80.0,CTGAN,DecisionTree,0.5084799999999999
80.0,TVAE,DecisionTree,0.6214999999999999
100.0,CTGAN,DecisionTree,0.50968
100.0,TVAE,DecisionTree,0.6556599999999999
120.0,CTGAN,DecisionTree,0.5049
120.0,TVAE,DecisionTree,0.6610400000000001
150.0,CTGAN,DecisionTree,0.50514
150.0,TVAE,DecisionTree,0.6556599999999999
200.0,CTGAN,DecisionTree,0.49908
200.0,TVAE,DecisionTree,0.67182
250.0,CTGAN,DecisionTree,0.5207200000000001
250.0,TVAE,DecisionTree,0.65134
300.0,CTGAN,DecisionTree,0.59330625
300.0,GaussianCopula,DecisionTree,0.56254375
300.0,TVAE,DecisionTree,0.67561875
400.0,CTGAN,DecisionTree,0.60558
400.0,TVAE,DecisionTree,0.67616
500.0,CTGAN,DecisionTree,0.6071799999999999
500.0,TVAE,DecisionTree,0.6801
750.0,CTGAN,DecisionTree,0.61548
750.0,TVAE,DecisionTree,0.6809200000000001
1000.0,CTGAN,DecisionTree,0.5976600000000001
1000.0,TVAE,DecisionTree,0.67958
