epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,KNN,0.52112
40.0,CTGAN,KNN,0.49047999999999997
60.0,CTGAN,KNN,0.50126
80.0,CTGAN,KNN,0.4985399999999999
100.0,CTGAN,KNN,0.53762
120.0,CTGAN,KNN,0.5361
150.0,CTGAN,KNN,0.50178
200.0,CTGAN,KNN,0.46188
200.0,TVAE,KNN,0.5273399999999999
250.0,CTGAN,KNN,0.5393800000000001
250.0,TVAE,KNN,0.50888
300.0,CTGAN,KNN,0.50635
300.0,GaussianCopula,KNN,0.454375
300.0,TVAE,KNN,0.5213625000000001
400.0,CTGAN,KNN,0.50334
400.0,TVAE,KNN,0.476
500.0,CTGAN,KNN,0.48154
500.0,TVAE,KNN,0.48956
1000.0,CTGAN,KNN,0.49783999999999995
1000.0,TVAE,KNN,0.49832
