epochs,Dataset,Model,Precision
20.0,CTGAN,DecisionTree,0.40199999999999997
40.0,CTGAN,DecisionTree,0.3877
40.0,TVAE,DecisionTree,0.5122
60.0,CTGAN,DecisionTree,0.3884666666666667
60.0,TVAE,DecisionTree,0.5905999999999999
80.0,CTGAN,DecisionTree,0.382675
80.0,TVAE,DecisionTree,0.560575
100.0,CTGAN,DecisionTree,0.36423333333333335
100.0,TVAE,DecisionTree,0.6171333333333333
120.0,CTGAN,DecisionTree,0.39327500000000004
120.0,TVAE,DecisionTree,0.5966
150.0,CTGAN,DecisionTree,0.38483333333333336
150.0,TVAE,DecisionTree,0.5951666666666666
200.0,CTGAN,DecisionTree,0.38786666666666664
200.0,TVAE,DecisionTree,0.6008666666666667
250.0,CTGAN,DecisionTree,0.42367999999999995
250.0,TVAE,DecisionTree,0.6121
300.0,CTGAN,DecisionTree,0.5081363636363636
300.0,GaussianCopula,DecisionTree,0.4254909090909091
300.0,TVAE,DecisionTree,0.6277636363636364
400.0,CTGAN,DecisionTree,0.5527666666666667
400.0,TVAE,DecisionTree,0.6285
500.0,CTGAN,DecisionTree,0.5486
500.0,TVAE,DecisionTree,0.6239
750.0,CTGAN,DecisionTree,0.55794
750.0,TVAE,DecisionTree,0.6136
1000.0,CTGAN,DecisionTree,0.5415749999999999
1000.0,TVAE,DecisionTree,0.639025
