epochs,Dataset,Model,F1
20.0,CTGAN,DecisionTree,0.3899
20.0,TVAE,DecisionTree,0.41692
40.0,CTGAN,DecisionTree,0.35638000000000003
40.0,TVAE,DecisionTree,0.5495599999999999
60.0,CTGAN,DecisionTree,0.38078
60.0,TVAE,DecisionTree,0.57986
80.0,CTGAN,DecisionTree,0.365
80.0,TVAE,DecisionTree,0.54832
100.0,CTGAN,DecisionTree,0.38458000000000003
100.0,TVAE,DecisionTree,0.5760799999999999
120.0,CTGAN,DecisionTree,0.35994000000000004
120.0,TVAE,DecisionTree,0.59144
150.0,CTGAN,DecisionTree,0.38692000000000004
150.0,TVAE,DecisionTree,0.58436
200.0,CTGAN,DecisionTree,0.37629999999999997
200.0,TVAE,DecisionTree,0.60112
250.0,CTGAN,DecisionTree,0.41562
250.0,TVAE,DecisionTree,0.5747
300.0,CTGAN,DecisionTree,0.50014375
300.0,GaussianCopula,DecisionTree,0.4735
300.0,TVAE,DecisionTree,0.615575
400.0,CTGAN,DecisionTree,0.52792
400.0,TVAE,DecisionTree,0.6143799999999999
500.0,CTGAN,DecisionTree,0.52916
500.0,TVAE,DecisionTree,0.6166
750.0,CTGAN,DecisionTree,0.5206000000000001
750.0,TVAE,DecisionTree,0.61398
1000.0,CTGAN,DecisionTree,0.49800000000000005
1000.0,TVAE,DecisionTree,0.6111800000000001
