epochs,Dataset,Model,Precision
20.0,CTGAN,DecisionTree,0.57142
40.0,CTGAN,DecisionTree,0.60368
60.0,CTGAN,DecisionTree,0.58206
80.0,CTGAN,DecisionTree,0.59514
100.0,CTGAN,DecisionTree,0.5906399999999999
120.0,CTGAN,DecisionTree,0.58908
150.0,CTGAN,DecisionTree,0.55822
200.0,CTGAN,DecisionTree,0.58292
200.0,TVAE,DecisionTree,0.5874
250.0,CTGAN,DecisionTree,0.58206
250.0,TVAE,DecisionTree,0.5981
300.0,CTGAN,DecisionTree,0.5871
300.0,GaussianCopula,DecisionTree,0.6946
300.0,TVAE,DecisionTree,0.5581937499999999
400.0,CTGAN,DecisionTree,0.61018
400.0,TVAE,DecisionTree,0.58422
500.0,CTGAN,DecisionTree,0.59152
500.0,TVAE,DecisionTree,0.6261599999999999
1000.0,CTGAN,DecisionTree,0.5897
1000.0,TVAE,DecisionTree,0.75542
