school_0,school_1,sex_0,sex_1,age,address_0,address_1,famsize_0,famsize_1,Pstatus_0,Pstatus_1,Medu,Fedu,Mjob_0,Mjob_1,Mjob_2,Fjob_0,Fjob_1,Fjob_2,reason_0,reason_1,reason_2,guardian_0,guardian_1,traveltime,studytime,failures,schoolsup_0,schoolsup_1,famsup_0,famsup_1,paid_0,paid_1,activities_0,activities_1,nursery_0,nursery_1,higher_0,higher_1,internet_0,internet_1,romantic_0,romantic_1,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,1,0,1,17,0,1,0,1,1,0,2,2,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,5,3,3,1,1,5,0,13,14,11
0,1,1,0,16,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,1,0,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,4,3,3,1,3,5,2,6,13,10
0,1,1,0,15,0,1,0,1,1,0,4,4,1,0,0,0,1,1,0,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,3,3,1,1,5,0,15,15,20
0,1,0,1,15,0,1,0,1,1,0,4,4,1,0,0,0,1,1,0,0,1,0,1,1,3,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,3,3,1,1,5,1,13,13,10
0,1,1,0,15,0,1,0,1,1,0,4,4,1,0,0,0,1,1,0,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,4,3,1,1,5,0,15,15,16
0,1,0,1,17,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,1,0,1,1,2,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,4,3,3,1,1,3,2,8,11,9
0,1,0,1,17,0,1,0,1,1,0,2,2,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,4,3,4,1,1,5,2,12,8,5
0,1,1,0,18,0,1,0,1,1,0,4,4,1,0,1,0,1,1,0,0,1,0,1,1,2,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,5,3,3,1,1,5,1,12,11,8
0,1,1,0,15,0,1,0,1,1,0,4,3,1,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,3,4,1,4,5,7,8,9,8
0,1,1,0,16,0,1,0,1,1,0,4,4,1,0,1,0,1,0,0,0,0,0,1,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,3,3,1,1,5,2,12,16,10
0,1,0,1,16,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,4,3,3,1,1,3,2,16,16,9
0,1,1,0,15,0,1,0,1,1,0,4,4,1,0,0,0,1,1,0,0,1,0,1,1,2,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,4,3,4,1,1,5,4,9,14,12
0,1,0,1,17,0,1,0,1,1,0,3,4,0,0,1,0,1,1,0,0,0,0,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,4,3,3,1,1,5,0,8,13,9
0,1,0,1,16,0,1,0,1,1,0,3,2,0,1,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,4,3,3,1,1,5,1,12,11,9
0,1,0,1,17,0,1,0,1,1,0,2,3,0,0,1,0,1,0,0,0,1,0,1,1,3,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,4,3,3,1,1,3,1,10,15,7
0,1,1,0,16,0,1,1,0,1,0,4,2,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,4,4,3,1,1,5,2,16,10,14
0,1,1,0,16,0,1,1,0,1,0,3,2,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,4,4,4,2,4,5,1,12,16,9
0,1,1,0,16,0,1,0,1,1,0,4,3,1,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,4,4,2,4,5,1,9,10,8
0,1,1,0,16,0,1,0,1,1,0,2,3,0,1,1,0,1,0,0,1,1,0,1,1,2,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,4,3,3,1,1,5,1,16,17,8
0,1,1,0,18,0,1,0,1,1,0,3,2,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,4,4,4,2,4,5,12,8,7,8
0,1,0,1,16,0,1,0,1,1,0,4,3,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,3,3,1,1,5,1,7,10,10
0,1,1,0,17,0,1,0,1,1,0,3,2,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,4,4,4,2,4,5,15,9,8,6
0,1,1,0,15,0,1,0,1,1,0,4,4,1,0,0,0,1,1,0,0,1,0,1,1,2,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,4,3,3,1,1,5,3,14,14,18
0,1,0,1,16,0,1,0,1,1,0,4,4,1,0,1,0,1,0,0,0,0,0,1,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,4,3,3,1,1,5,2,13,7,5
0,1,0,1,16,0,1,0,1,1,0,3,3,0,1,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,4,3,3,1,1,5,0,10,9,10
0,1,0,1,17,0,1,0,1,1,0,3,1,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,4,3,3,1,1,5,1,7,6,11
