school_0,school_1,sex_0,sex_1,age,address_0,address_1,famsize_0,famsize_1,Pstatus_0,Pstatus_1,Medu,Fedu,Mjob_0,Mjob_1,Mjob_2,Fjob_0,Fjob_1,Fjob_2,reason_0,reason_1,reason_2,guardian_0,guardian_1,traveltime,studytime,failures,schoolsup_0,schoolsup_1,famsup_0,famsup_1,paid_0,paid_1,activities_0,activities_1,nursery_0,nursery_1,higher_0,higher_1,internet_0,internet_1,romantic_0,romantic_1,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,1,0,1,17,0,0,0,1,1,0,4,2,1,1,1,0,0,0,0,1,1,0,1,2,3,3,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,4,5,4,1,2,5,0,7,7,19
0,0,0,0,16,0,1,0,0,1,0,3,4,0,0,1,0,1,1,1,0,1,1,1,1,2,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,3,1,1,4,4,0,10,6,6
1,1,0,0,17,0,1,0,1,1,0,4,2,1,1,1,1,1,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,4,3,4,1,1,4,0,12,12,13
0,0,1,0,15,0,1,0,0,1,0,2,1,0,0,1,0,1,0,1,1,0,1,1,2,3,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,4,5,2,2,3,5,1,8,10,9
0,1,1,1,16,0,1,0,1,1,0,4,2,1,1,0,0,1,1,0,0,1,0,1,2,2,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,3,4,4,2,1,3,0,4,0,12
0,1,0,1,18,0,1,0,1,1,0,4,1,1,0,1,0,1,1,0,0,1,0,1,1,2,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,3,3,2,1,1,5,0,3,14,18
0,1,1,1,17,0,0,0,1,1,0,3,3,0,0,1,0,1,1,0,0,1,0,1,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,4,2,3,1,2,5,0,3,15,7
0,1,0,1,17,0,1,1,1,1,0,2,3,0,0,1,0,1,0,0,1,1,0,1,1,2,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,3,4,2,2,2,3,0,8,15,7
1,1,0,1,16,0,0,0,1,1,0,1,2,0,0,0,0,1,0,1,0,1,1,1,1,2,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,3,2,1,1,4,3,0,3,8,11
0,1,0,0,15,0,1,0,1,1,0,1,4,1,1,0,0,1,0,1,1,0,0,0,2,2,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,3,4,2,1,4,4,2,15,15,14
0,1,0,1,15,0,1,0,1,1,0,4,3,1,0,0,0,0,1,0,1,1,0,1,1,2,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,5,5,4,4,5,5,0,4,10,9
0,1,0,0,17,0,1,1,0,0,1,4,1,1,1,1,0,1,0,0,0,1,0,1,1,3,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,4,3,5,1,1,5,0,6,14,12
0,1,1,0,19,0,1,0,1,1,0,1,3,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,5,3,3,1,1,3,0,8,19,11
1,0,0,0,16,0,1,0,1,1,0,4,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,4,3,1,1,4,3,0,3,17,14
1,1,1,0,16,1,1,0,0,1,0,4,4,0,0,1,0,1,1,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,5,3,3,2,3,5,0,7,14,9
