age,job_0,job_1,job_2,job_3,marital_0,marital_1,education_0,education_1,education_2,default_0,default_1,balance,housing_0,housing_1,loan_0,loan_1,contact_0,contact_1,day,month_0,month_1,month_2,month_3,duration,campaign,pdays,previous,poutcome_0,poutcome_1,poutcome_2,y
37,0,1,1,0,1,0,0,1,0,0,1,728,0,1,0,1,1,0,14,1,0,0,1,216,2,283,2,0,1,0,no
27,0,0,0,1,1,0,0,0,1,0,1,1889,1,0,0,1,1,0,21,0,1,0,1,96,1,-1,0,0,0,1,no
37,0,1,0,0,1,0,0,1,0,0,1,647,0,1,0,1,0,1,11,0,0,0,1,76,1,357,0,0,0,0,no
33,1,0,0,1,1,0,0,0,1,0,1,561,1,0,0,1,1,0,28,1,0,0,0,129,1,-1,0,0,0,1,no
56,0,1,1,0,1,1,0,1,0,0,1,2506,1,0,0,1,1,0,21,0,1,0,0,84,2,0,0,0,0,1,no
57,0,1,1,0,0,1,1,0,0,0,1,26,0,1,0,1,1,0,17,0,1,1,0,93,2,-1,0,0,0,1,no
43,0,0,1,1,0,1,0,0,0,0,1,56,1,0,1,1,1,0,18,0,1,1,0,73,2,-1,0,0,0,1,no
57,0,0,1,0,0,1,0,0,1,0,1,142,1,0,0,1,1,0,14,1,0,0,1,87,1,250,4,0,1,0,no
28,0,1,0,0,0,1,0,1,0,0,1,73,1,0,0,1,0,1,20,0,0,1,0,78,1,-1,0,0,0,1,no
29,0,0,1,0,1,0,0,1,0,0,1,1006,1,0,0,1,1,0,11,0,0,0,1,152,1,-1,0,0,0,1,no
56,0,1,1,0,0,1,0,1,0,0,1,2132,0,1,0,1,0,1,21,0,0,1,1,104,1,-1,0,0,0,1,no
33,0,0,0,0,1,0,0,1,0,0,1,39,1,0,0,1,1,0,28,0,0,0,1,152,2,-1,0,0,0,1,no
30,0,1,0,1,1,0,0,0,1,0,1,88,0,1,1,0,1,0,11,0,1,0,1,54,1,-1,0,0,0,1,no
34,0,1,1,0,1,0,0,1,0,0,1,-19,0,1,0,1,1,0,11,0,0,0,1,69,2,346,0,0,0,1,no
37,1,1,0,0,0,1,0,1,0,0,1,87,1,0,0,1,0,1,4,0,0,0,1,348,1,-1,0,0,0,1,no
55,0,1,1,0,0,1,0,0,1,0,1,6033,1,0,0,1,1,0,29,1,0,0,1,651,1,180,3,1,1,0,yes
45,0,1,1,0,1,1,0,1,0,1,0,-73,1,0,0,1,0,1,20,0,0,1,1,83,1,-1,0,0,0,1,no
52,0,0,0,1,0,1,0,0,1,0,1,1980,0,1,0,0,0,1,29,0,0,0,1,93,2,-1,0,0,0,1,no
39,0,0,1,0,1,1,0,1,0,0,1,6286,1,0,0,1,1,1,7,0,1,1,0,230,2,-1,0,0,0,1,no
49,0,0,1,0,0,1,0,1,0,0,1,114,0,1,0,1,1,0,27,1,0,0,1,56,2,-1,0,0,1,1,no
48,0,0,0,0,0,1,0,1,0,0,0,99,0,1,1,0,1,1,22,0,0,0,1,84,2,-1,0,0,0,1,no
43,0,0,1,1,1,1,0,0,1,0,1,102,0,1,1,0,0,1,26,0,0,0,0,50,2,-1,0,0,0,1,no
43,0,1,0,0,0,1,0,1,0,0,1,-30,0,1,0,1,1,0,29,0,0,0,1,413,5,-1,0,1,0,1,no
33,0,0,1,0,1,0,0,1,0,0,1,1662,1,0,0,1,0,1,4,0,0,0,1,459,1,-1,0,0,0,1,no
36,0,0,0,1,0,1,0,0,1,0,1,995,1,1,0,1,1,0,11,0,1,0,0,201,2,-1,0,0,0,1,no
41,0,0,0,1,0,1,0,0,1,0,1,-124,0,1,0,1,1,0,19,0,0,0,0,67,2,-1,0,0,0,1,no
43,0,0,1,0,1,1,0,1,0,0,1,2241,1,0,0,1,0,1,5,0,0,0,1,237,1,-1,0,0,0,1,no
33,0,1,1,0,1,0,0,1,0,0,1,351,0,1,1,0,1,0,11,1,0,0,1,97,1,271,1,0,1,0,no
40,0,1,0,0,0,1,1,1,0,0,1,-106,0,1,0,1,0,1,4,0,0,1,1,329,2,-1,0,0,0,1,no
35,0,0,0,1,0,1,0,0,1,0,1,69,0,1,1,1,1,1,22,0,0,0,1,523,2,-1,0,0,0,1,no
46,0,1,1,0,1,1,1,0,0,0,1,269,1,0,0,1,1,0,11,1,0,0,1,108,1,271,4,0,1,0,no
77,0,1,1,1,0,1,0,1,0,1,1,114,1,0,1,0,1,0,29,0,0,1,1,56,1,-1,0,0,0,1,no
37,0,0,1,1,0,1,0,1,0,0,1,678,0,1,0,1,1,0,19,0,1,0,0,39,1,-1,0,0,0,1,no
38,0,1,0,0,1,0,0,1,0,0,1,3632,1,0,0,1,1,1,3,1,0,1,1,170,1,-1,0,1,0,1,no
39,1,0,0,1,1,0,0,0,1,0,1,528,1,0,0,1,1,0,6,0,1,0,0,145,2,-1,2,0,0,1,no
30,0,0,1,1,1,1,0,0,1,0,1,4351,1,0,0,1,1,0,9,0,1,0,0,536,1,183,1,1,0,0,yes
36,0,1,0,0,0,1,1,0,0,0,1,-9,0,1,0,1,1,1,17,0,0,0,1,63,2,-1,0,0,0,1,yes
41,0,0,0,1,0,1,0,1,0,0,1,376,0,1,0,1,1,0,12,0,0,1,0,154,2,-1,0,0,0,1,no
32,0,0,0,1,1,0,0,0,1,0,1,1211,1,0,0,1,0,1,12,0,0,0,0,98,10,-1,0,0,0,1,no
61,0,0,1,0,0,1,0,1,0,0,1,6607,1,0,0,1,1,0,19,0,1,0,0,188,1,189,4,0,1,0,no
42,0,0,1,0,0,1,0,1,0,0,1,269,0,1,0,1,0,1,26,0,0,1,0,72,13,-1,0,0,0,1,no
33,0,1,1,0,0,1,1,0,0,0,1,166,0,1,0,1,1,1,21,0,0,0,1,231,2,-1,0,0,0,1,no
54,0,0,1,1,0,1,0,1,1,0,1,156,0,1,0,1,1,0,29,1,0,0,1,428,1,-1,3,0,1,1,no
45,0,0,0,0,1,1,0,1,0,0,1,182,1,0,0,1,1,1,29,1,0,0,1,403,1,-1,0,0,0,1,no
40,0,0,1,1,1,0,0,0,1,0,1,7522,1,0,0,1,1,1,29,0,0,1,1,774,2,-1,0,0,0,1,yes
30,1,0,0,1,1,0,0,0,1,0,1,390,0,1,0,1,1,0,22,0,0,1,1,135,1,-1,0,0,0,1,no
45,0,0,1,0,0,1,0,1,0,0,1,6074,1,0,0,1,1,0,21,0,0,1,0,1099,2,-1,0,0,0,1,no
43,0,1,0,0,0,1,0,1,1,0,1,2044,0,1,0,1,0,1,3,0,0,0,1,309,1,-1,0,0,0,1,no
31,0,0,1,0,1,0,0,1,0,0,1,1700,0,1,0,1,0,1,6,0,0,0,1,227,1,-1,0,0,0,1,yes
