Loan_ID_0,Loan_ID_1,Loan_ID_2,Loan_ID_3,Loan_ID_4,Loan_ID_5,Loan_ID_6,Loan_ID_7,Loan_ID_8,Gender_0,Gender_1,Married_0,Married_1,Dependents_0,Dependents_1,Dependents_2,Education_0,Education_1,Self_Employed_0,Self_Employed_1,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area_0,Property_Area_1,Loan_Status
1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1029,456.8938964,156.0,360.0,1.0,1,0,N
1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,2345,421.91493897,177.0,360.0,1.0,1,0,N
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,2941,0.0,12.0,180.0,1.0,1,1,N
0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,2709,364.51931276,119.0,480.0,1.0,1,0,Y
0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,6542,6537.05330836,139.0,360.0,1.0,1,0,N
0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,3822,6543.05389564,88.0,360.0,1.0,0,0,Y
1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,4568,191.73642668,62.0,300.0,1.0,1,1,Y
1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,6193,3171.85945761,181.0,360.0,1.0,1,0,Y
0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,6342,390.98659489,183.0,360.0,1.0,0,1,Y
1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,3960,927.14991516,207.0,360.0,1.0,1,0,Y
1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1000,76.50896882,235.0,36.0,1.0,1,0,Y
1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1820,6099.71007456,184.0,360.0,1.0,0,0,Y
0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,2329,1720.56282161,190.0,360.0,1.0,0,1,Y
0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,4774,430.58626584,163.0,360.0,1.0,1,1,N
0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1000,2527.07733998,100.0,300.0,1.0,0,1,N
1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1000,3070.57113452,233.0,360.0,1.0,1,0,Y
1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1113,3745.946278,122.0,360.0,1.0,0,1,Y
0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1511,7044.7804072,88.0,180.0,1.0,1,1,Y
0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1000,795.71149681,177.0,360.0,1.0,1,1,Y
1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,4529,6439.38866198,46.0,360.0,1.0,1,1,Y
1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1000,662.05698118,118.0,360.0,1.0,1,1,Y
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1000,8273.57905239,80.0,360.0,1.0,0,0,Y
0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,5013,2323.06412584,108.0,180.0,1.0,1,0,Y
0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,2721,0.0,49.0,360.0,1.0,1,1,N
0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,2374,657.71785075,236.0,360.0,1.0,1,0,Y
1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,2183,1936.06153893,175.0,360.0,1.0,0,1,Y
1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1367,2076.4498536,118.0,360.0,1.0,1,1,Y
0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1000,6042.19433888,272.0,360.0,1.0,1,1,Y
1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1000,5963.90752817,106.0,360.0,1.0,0,1,Y
1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,2894,2671.44559145,104.0,360.0,0.0,1,1,N
0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1443,2376.59615484,9.0,360.0,1.0,0,0,Y
0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1000,2400.04224184,82.0,360.0,1.0,1,1,Y
1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,2532,127.95928761,136.0,180.0,0.0,0,1,Y
0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,2800,5028.0771681,203.0,360.0,1.0,1,1,Y
0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,3592,0.0,169.0,360.0,0.0,1,0,Y
0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,20968,3076.99663174,203.0,360.0,1.0,1,1,Y
0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,4927,5510.74048294,270.0,360.0,1.0,1,0,Y
1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,4632,2114.20183653,9.0,360.0,1.0,0,0,N
0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,3652,2954.90731993,221.0,360.0,1.0,1,1,Y
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,6519,3933.63472989,160.0,360.0,1.0,1,1,Y
1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1057,2879.52908032,44.0,360.0,1.0,1,1,N
0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,3219,0.0,170.0,360.0,1.0,1,0,N
1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,4328,4181.10631037,107.0,360.0,1.0,1,1,N
1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,2085,0.0,155.0,360.0,0.0,0,0,Y
0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2642,2165.18973226,239.0,360.0,1.0,1,1,Y
0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1243,6634.55441039,134.0,360.0,1.0,1,1,Y
0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,9734,1763.83021057,191.0,36.0,1.0,1,0,Y
1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1499,0.0,186.0,360.0,1.0,0,1,Y
1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1000,870.48224426,202.0,180.0,0.0,0,1,Y
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,3687,2720.52156432,208.0,360.0,1.0,0,1,Y
0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1654,540.63406934,386.0,360.0,0.0,0,0,Y
1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1936,0.0,324.0,360.0,1.0,1,0,Y
0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1000,1294.66970605,154.0,360.0,1.0,0,0,Y
0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,4218,2918.05451348,137.0,360.0,1.0,0,1,N
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,2829,5016.93927,137.0,360.0,1.0,1,1,N
1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,4419,0.0,172.0,360.0,1.0,1,0,Y
1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1000,1976.43883828,149.0,360.0,1.0,1,1,Y
1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,2746,0.0,267.0,360.0,1.0,1,1,Y
1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1000,0.0,116.0,360.0,1.0,1,1,N
0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,3034,1963.81840615,20.0,360.0,0.0,1,0,Y
1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,3512,705.03748406,162.0,360.0,0.0,1,0,Y
1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1000,0.0,144.0,360.0,1.0,1,0,Y
1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,2783,0.0,175.0,360.0,1.0,1,1,Y
0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1950,0.0,136.0,480.0,1.0,0,1,Y
0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1288,68.6845789,64.0,180.0,1.0,1,0,Y
1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1221,0.0,249.0,360.0,1.0,0,1,N
0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,6800,1526.36703161,92.0,360.0,1.0,1,0,N
0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,6452,549.90671345,9.0,360.0,1.0,1,1,N
0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,15724,0.0,160.0,360.0,1.0,1,0,Y
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,14644,3824.49505253,135.0,360.0,0.0,1,0,N
1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1295,0.0,84.0,360.0,1.0,1,0,N
1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,4509,0.0,98.0,180.0,1.0,1,1,N
