Loan_ID_0,Loan_ID_1,Loan_ID_2,Loan_ID_3,Loan_ID_4,Loan_ID_5,Loan_ID_6,Loan_ID_7,Loan_ID_8,Gender_0,Gender_1,Married_0,Married_1,Dependents_0,Dependents_1,Dependents_2,Education_0,Education_1,Self_Employed_0,Self_Employed_1,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area_0,Property_Area_1,Loan_Status_0,Loan_Status_1
0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,150,2365.5021613,24.0,360.0,1.0,1,0,1,0
0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2335,4199.91921193,97.0,360.0,1.0,0,0,1,1
1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,150,2703.54575921,9.0,360.0,1.0,0,1,1,0
1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,150,2205.28031332,9.0,360.0,1.0,1,0,1,0
1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,150,615.17235117,9.0,360.0,1.0,1,0,1,0
1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,7563,453.30656317,135.0,360.0,1.0,0,0,1,0
0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,258,3323.06336524,25.0,120.0,1.0,1,1,1,0
1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1953,3584.66393214,12.0,180.0,0.0,0,0,1,0
1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1520,3605.68229346,151.0,360.0,1.0,0,1,1,1
0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,150,2776.2383646,9.0,360.0,1.0,1,0,1,1
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,270,2063.47078879,144.0,180.0,1.0,0,0,1,0
0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,2532,3834.4510975,48.0,360.0,1.0,0,1,1,1
1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,2121,2931.47124665,18.0,360.0,1.0,0,1,1,0
1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,2875,3943.07866366,54.0,360.0,1.0,1,1,1,0
1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,150,2447.58395592,111.0,120.0,1.0,0,1,1,0
0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,416,3356.75180853,24.0,360.0,0.0,1,0,1,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,150,3172.00440259,70.0,360.0,1.0,0,1,1,1
0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,7809,3583.67221876,54.0,360.0,1.0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2060,2955.70478299,74.0,360.0,1.0,1,1,0,0
0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,150,2040.18206394,26.0,360.0,1.0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1487,6433.78165335,40.0,360.0,1.0,1,1,1,1
1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,172,4048.38791902,52.0,360.0,1.0,0,0,0,1
1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,512,3839.97099504,44.0,300.0,1.0,1,0,1,0
1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,827,1113.97489252,50.0,360.0,1.0,1,1,1,1
1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,184,780.87776965,72.0,360.0,1.0,1,1,1,0
0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,150,5046.10069144,9.0,360.0,1.0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1771,2212.91825939,60.0,360.0,1.0,1,1,0,1
1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1908,703.30430437,9.0,360.0,1.0,1,1,0,0
1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,9383,1713.61625713,52.0,360.0,1.0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,150,2967.56650033,9.0,360.0,0.0,1,1,1,0
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,225,468.0867169,29.0,360.0,1.0,0,1,1,0
1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,5437,202.47707752,29.0,360.0,1.0,0,0,1,1
0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,3690,551.03548175,277.0,480.0,0.0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,164,4140.36357075,170.0,360.0,1.0,1,1,1,0
1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1445,545.49879247,9.0,360.0,0.0,1,0,1,1
1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,150,7614.11617663,43.0,360.0,1.0,1,1,1,0
1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,594,2340.322143,76.0,360.0,1.0,1,0,1,1
