Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1,9137,1,1,121.5,1,37,37,9,8,117.5,1,0,0,1,0,0,19,0,0,6,8,4,10.666565114937649,0,0,6,8,5,9.712774971796502,0,7.8,2.6,0.31,Enrolled
1,1,1,9689,1,1,132.9,1,38,38,10,8,132.0,1,0,0,1,0,0,20,0,0,6,6,6,14.859188464415773,0,0,6,6,6,13.731437776074118,0,8.9,1.4,3.42,Graduate
1,1,1,9043,1,1,129.1,1,2,38,4,5,119.7,0,0,0,1,1,0,19,0,0,5,5,0,0.0,0,0,5,5,0,0.39739838851023385,0,9.1,1.4,1.79,Dropout
1,1,1,9528,1,1,132.2,1,1,2,1,5,131.9,1,0,0,1,0,0,18,0,0,7,8,6,12.051632296709084,0,0,8,8,8,15.061315328359228,0,13.9,-0.3,0.79,Graduate
1,1,3,9772,1,1,139.6,1,1,2,4,6,131.0,1,0,0,1,0,0,17,0,0,8,8,6,13.914930926661297,0,0,6,8,6,15.101393638986353,0,9.3,-0.8,-3.11,Graduate
1,1,1,9707,1,1,131.7,1,37,37,7,8,110.4,1,0,0,1,0,0,20,0,0,6,11,6,11.032663921832949,0,0,7,12,5,9.851272070047308,0,7.6,2.7,0.33,Enrolled
1,43,1,9346,1,1,130.9,1,4,1,5,3,128.5,0,0,0,1,1,0,21,0,0,7,12,5,12.532292663359701,0,0,8,8,5,11.505678329213954,0,12.6,-0.3,-1.69,Enrolled
1,17,1,9293,1,1,123.1,1,19,20,4,9,122.7,1,0,0,1,0,0,18,0,0,6,6,5,11.559716508387504,0,0,6,10,4,9.169192708029385,0,15.5,2.8,-4.06,Enrolled
1,39,1,9334,1,40,130.1,1,37,35,5,4,147.7,0,0,0,1,1,0,36,0,2,6,12,4,11.699172747107909,0,1,6,11,2,11.389149368339968,0,9.0,1.4,3.49,Dropout
1,44,1,9348,1,1,129.2,1,4,2,6,3,135.0,1,0,0,1,0,0,21,0,0,7,10,5,12.163725488144692,0,0,7,10,5,10.982210276701274,0,14.0,-0.4,0.78,Enrolled
1,1,1,9644,1,1,133.7,1,37,37,9,10,126.4,1,0,0,1,0,1,17,0,0,6,8,6,13.09967473757108,0,0,6,7,6,12.678594766166915,0,12.7,3.7,-1.7,Graduate
1,18,1,9195,1,1,122.2,1,4,4,4,2,116.5,1,0,0,1,0,0,18,0,0,5,8,5,10.867468960339332,0,0,5,8,5,10.31160218405913,0,14.0,-0.3,-3.12,Enrolled
1,1,1,9438,1,1,133.2,1,2,2,2,2,120.0,1,0,0,1,1,0,20,0,0,7,10,4,12.102390913954602,0,0,7,11,2,12.608344538975702,0,14.0,0.6,1.96,Dropout
1,1,1,9134,1,1,142.2,1,2,2,4,0,130.7,1,0,0,1,0,0,19,0,0,6,8,6,12.352917384214916,0,0,6,7,5,12.488266999104702,0,14.0,-0.3,0.78,Graduate
1,1,3,9779,1,1,139.1,1,2,1,3,6,126.9,1,0,0,1,0,0,19,0,0,6,7,6,14.275322272037316,0,0,6,8,6,13.354967017605953,0,9.1,2.6,3.48,Graduate
1,39,1,9146,1,40,133.1,1,2,38,2,2,155.0,0,0,0,0,1,0,30,0,0,6,11,2,13.035551024976465,0,0,6,11,2,12.243814193177261,0,10.8,1.4,3.41,Dropout
1,1,3,9906,1,1,130.4,1,37,38,9,9,132.1,1,0,0,1,0,1,18,0,0,6,6,6,13.663972871569868,0,0,6,6,6,15.011404849473976,0,10.8,0.5,1.79,Graduate
2,39,1,9751,1,1,131.2,1,37,37,9,9,136.7,0,0,0,1,0,0,30,0,0,7,7,7,14.354996523825271,0,0,8,8,8,13.709379185161396,0,14.0,0.5,0.82,Graduate
1,39,1,9919,1,1,132.8,1,37,38,3,2,130.3,0,0,0,1,0,0,25,0,0,6,10,4,11.737514590578442,0,0,6,10,4,12.0040710838374,0,7.8,-0.8,-0.93,Dropout
2,43,1,8032,0,39,127.8,1,37,36,1,2,156.9,0,0,0,1,0,0,34,0,2,11,11,6,13.255196414616597,0,2,7,8,5,11.864303977608632,0,13.8,2.7,0.32,Graduate
