Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
DecisionTree,Anonymous,0.5955,0.637,0.5955,0.6086,,,0.3706,0.376,0.2,2.0,2.0,0.01,,
KNN,Anonymous,0.6723,0.6572,0.6723,0.6634,,,0.4563,0.4576,0.2,2.0,2.0,0.01,,
LogisticRegression,Anonymous,0.7435,0.7302,0.7435,0.7353,,,0.5754,0.5767,0.2,2.0,2.0,0.01,,
RandomForest,Anonymous,0.7469,0.7246,0.7469,0.7288,,,0.5733,0.5789,0.2,2.0,2.0,0.01,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,2.0,2.0,0.01,,
DecisionTree,Anonymous,0.6136,0.6452,0.6136,0.6257,,,0.392,0.3949,0.2,2.0,2.0,0.05,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,2.0,2.0,0.05,,
LogisticRegression,Anonymous,0.7424,0.7351,0.7424,0.7379,,,0.5756,0.5765,0.2,2.0,2.0,0.05,,
RandomForest,Anonymous,0.748,0.7255,0.748,0.7276,,,0.5749,0.5815,0.2,2.0,2.0,0.05,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,2.0,2.0,0.05,,
DecisionTree,Anonymous,0.5955,0.6458,0.5955,0.6133,,,0.3737,0.3794,0.2,2.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.2,2.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7424,0.7351,0.7424,0.7379,,,0.5756,0.5765,0.2,2.0,2.0,0.1,,
RandomForest,Anonymous,0.7514,0.7294,0.7514,0.7329,,,0.5823,0.5878,0.2,2.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.2,2.0,2.0,0.1,,
