Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285
RandomForest,Anonymous,0.5708,0.5724,0.5708,0.5716,,,-0.0024,-0.0024
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0
RandomForest,GaussianCopula,0.7042,0.6803,0.7042,0.6234,,,0.1011,0.1591
RandomForest,Original,0.8125,0.8103,0.8125,0.8,,,0.515,0.5348
RandomForest,TVAE,0.5083,0.566,0.5083,0.5265,,,-0.0158,-0.0166
