epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,KNN,0.5042666666666666
40.0,CTGAN,KNN,0.5073666666666666
60.0,CTGAN,KNN,0.4914
60.0,TVAE,KNN,0.6479666666666667
80.0,CTGAN,KNN,0.5148
80.0,TVAE,KNN,0.6343
100.0,CTGAN,KNN,0.4963333333333333
100.0,TVAE,KNN,0.6523
120.0,CTGAN,KNN,0.5163500000000001
120.0,TVAE,KNN,0.65855
150.0,CTGAN,KNN,0.5002666666666666
150.0,TVAE,KNN,0.6321666666666667
200.0,CTGAN,KNN,0.5177
200.0,TVAE,KNN,0.6494
250.0,CTGAN,KNN,0.52876
250.0,TVAE,KNN,0.65778
300.0,CTGAN,KNN,0.5550636363636364
300.0,GaussianCopula,KNN,0.5124454545454545
300.0,TVAE,KNN,0.6516636363636364
400.0,CTGAN,KNN,0.5822333333333334
400.0,TVAE,KNN,0.6738
500.0,CTGAN,KNN,0.5999
500.0,TVAE,KNN,0.6564
750.0,CTGAN,KNN,0.58324
750.0,TVAE,KNN,0.6561
1000.0,CTGAN,KNN,0.61115
1000.0,TVAE,KNN,0.679375
