Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249
DecisionTree,CTGAN,0.6016,0.5666,0.6016,0.58,,,-0.0141,-0.0145
DecisionTree,GaussianCopula,0.561,0.5854,0.561,0.571,,,0.0284,0.0287
DecisionTree,Original,0.6829,0.7241,0.6829,0.6937,,,0.3305,0.342
DecisionTree,TVAE,0.7236,0.7101,0.7236,0.7135,,,0.3126,0.3168
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664
RandomForest,Anonymous,0.6179,0.5853,0.6179,0.5972,,,0.0273,0.028
RandomForest,CTGAN,0.6829,0.4758,0.6829,0.5609,,,-0.0161,-0.0605
RandomForest,GaussianCopula,0.7561,0.8197,0.7561,0.6949,,,0.2693,0.3945
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032
RandomForest,TVAE,0.748,0.7649,0.748,0.6958,,,0.2655,0.3454
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0
