Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6747,0.6919,0.6747,0.6819,0.7338,11.725,0.4815,0.4827
DecisionTree,CTGAN_HYBRID,0.4526,0.4502,0.4526,0.4403,0.5555,19.7317,0.1255,0.1296
DecisionTree,GaussianCopula_HYBRID,0.4074,0.4217,0.4074,0.4138,0.5232,21.3602,0.055,0.0551
DecisionTree,Original,0.6694,0.6886,0.6694,0.6773,0.73,11.915,0.4737,0.4752
DecisionTree,TVAE_HYBRID,0.5602,0.6055,0.5602,0.5694,0.6509,15.8505,0.3197,0.328
KNN,Anonymous,0.5798,0.5607,0.5798,0.566,0.6798,4.9016,0.2909,0.2943
KNN,CTGAN_HYBRID,0.497,0.4457,0.497,0.4462,0.5582,9.5113,0.0921,0.1012
KNN,GaussianCopula_HYBRID,0.433,0.4155,0.433,0.422,0.5268,4.9977,0.0577,0.0581
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE_HYBRID,0.4834,0.5055,0.4834,0.4868,0.6361,6.6165,0.187,0.1905
LogisticRegression,Anonymous,0.7402,0.7167,0.7402,0.7175,0.8165,0.9559,0.5566,0.5659
LogisticRegression,CTGAN_HYBRID,0.5986,0.5585,0.5986,0.5691,0.6953,1.2002,0.3284,0.3357
LogisticRegression,GaussianCopula_HYBRID,0.5211,0.5353,0.5211,0.4235,0.6324,1.0092,0.1208,0.1611
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE_HYBRID,0.6739,0.6729,0.6739,0.6637,0.7877,1.1264,0.4729,0.4819
RandomForest,Anonymous,0.7756,0.7602,0.7756,0.7602,0.886,0.5857,0.6196,0.6273
RandomForest,CTGAN_HYBRID,0.6491,0.5358,0.6491,0.5808,0.7109,0.9002,0.3658,0.3998
RandomForest,GaussianCopula_HYBRID,0.5211,0.4585,0.5211,0.4391,0.5947,0.9995,0.1064,0.1354
RandomForest,Original,0.7801,0.7666,0.7801,0.7664,0.8872,0.6032,0.6283,0.635
RandomForest,TVAE_HYBRID,0.6747,0.6682,0.6747,0.663,0.816,0.8241,0.4738,0.4817
