epochs,Dataset,Model,Accuracy
20.0,CTGAN,KNN,0.39308
20.0,TVAE,KNN,0.4992
40.0,CTGAN,KNN,0.33704
40.0,TVAE,KNN,0.53914
60.0,CTGAN,KNN,0.39654
60.0,TVAE,KNN,0.54866
80.0,CTGAN,KNN,0.33765999999999996
80.0,TVAE,KNN,0.56716
100.0,CTGAN,KNN,0.36639999999999995
100.0,TVAE,KNN,0.5651999999999999
120.0,CTGAN,KNN,0.33674
120.0,TVAE,KNN,0.56658
150.0,CTGAN,KNN,0.38795999999999997
150.0,TVAE,KNN,0.57484
200.0,CTGAN,KNN,0.39096000000000003
200.0,TVAE,KNN,0.55422
250.0,CTGAN,KNN,0.42094000000000004
250.0,TVAE,KNN,0.5679399999999999
300.0,CTGAN,KNN,0.46480625
300.0,GaussianCopula,KNN,0.405775
300.0,TVAE,KNN,0.55386875
400.0,CTGAN,KNN,0.5043599999999999
400.0,TVAE,KNN,0.55994
500.0,CTGAN,KNN,0.51748
500.0,TVAE,KNN,0.5590200000000001
750.0,CTGAN,KNN,0.43522
750.0,TVAE,KNN,0.55196
1000.0,CTGAN,KNN,0.48928000000000005
1000.0,TVAE,KNN,0.56082
