epochs,Dataset,Model,F1
50.0,CTGAN,RandomForest,0.84992
50.0,TVAE,RandomForest,0.86862
100.0,CTGAN,RandomForest,0.83256
100.0,TVAE,RandomForest,0.87416
200.0,CTGAN,RandomForest,0.86684
200.0,TVAE,RandomForest,0.8791800000000001
300.0,CTGAN,RandomForest,0.8671166666666666
300.0,GaussianCopula,RandomForest,0.8285399999999999
300.0,TVAE,RandomForest,0.87762
500.0,CTGAN,RandomForest,0.8702
500.0,TVAE,RandomForest,0.8816600000000001
750.0,CTGAN,RandomForest,0.87486
750.0,TVAE,RandomForest,0.87522
1000.0,CTGAN,RandomForest,0.87866
1000.0,TVAE,RandomForest,0.88092
