epochs,Dataset,Model,Accuracy
50.0,CTGAN,DecisionTree,0.77236
50.0,TVAE,DecisionTree,0.86342
100.0,CTGAN,DecisionTree,0.726
100.0,TVAE,DecisionTree,0.86432
200.0,CTGAN,DecisionTree,0.83856
200.0,TVAE,DecisionTree,0.87004
300.0,CTGAN,DecisionTree,0.8184333333333332
300.0,GaussianCopula,DecisionTree,0.8065200000000001
300.0,TVAE,DecisionTree,0.8139
500.0,CTGAN,DecisionTree,0.75618
500.0,TVAE,DecisionTree,0.81124
750.0,CTGAN,DecisionTree,0.82356
750.0,TVAE,DecisionTree,0.83552
1000.0,CTGAN,DecisionTree,0.8085800000000001
1000.0,TVAE,DecisionTree,0.84178
