epochs,Dataset,Model,Precision
20.0,CTGAN,LogisticRegression,0.52042
40.0,CTGAN,LogisticRegression,0.5661400000000001
60.0,CTGAN,LogisticRegression,0.54378
80.0,CTGAN,LogisticRegression,0.50936
100.0,CTGAN,LogisticRegression,0.5996
120.0,CTGAN,LogisticRegression,0.50214
150.0,CTGAN,LogisticRegression,0.62644
200.0,CTGAN,LogisticRegression,0.5944200000000001
200.0,TVAE,LogisticRegression,0.63296
250.0,CTGAN,LogisticRegression,0.54618
250.0,TVAE,LogisticRegression,0.68876
300.0,CTGAN,LogisticRegression,0.59788125
300.0,GaussianCopula,LogisticRegression,0.72555625
300.0,TVAE,LogisticRegression,0.5935875
400.0,CTGAN,LogisticRegression,0.52118
400.0,TVAE,LogisticRegression,0.56888
500.0,CTGAN,LogisticRegression,0.48986
500.0,TVAE,LogisticRegression,0.7496
1000.0,CTGAN,LogisticRegression,0.5554600000000001
1000.0,TVAE,LogisticRegression,0.853
