Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,CTGAN,0.4161,0.4407,0.4161,0.427,,,0.0178,0.0179,0.2,,,,100.0,974477.0,260402
DecisionTree,TVAE,0.4019,0.4464,0.4019,0.4172,0.5091,21.5567,0.0259,0.0265,0.2,,,,100.0,974477.0,260402
DecisionTree,CTGAN,0.3896,0.4545,0.3896,0.4078,,,0.0358,0.0375,0.2,,,,1000.0,974477.0,260402
DecisionTree,TVAE,0.398,0.444,0.398,0.415,0.508,21.7,0.0225,0.023,0.2,,,,1000.0,974477.0,260402
DecisionTree,CTGAN,0.3963,0.4368,0.3963,0.4128,,,0.0126,0.0127,0.2,,,,300.0,974477.0,260402
DecisionTree,GaussianCopula,0.3913,0.4266,0.3913,0.4062,,,-0.0051,-0.0051,0.2,,,,300.0,974477.0,260402
DecisionTree,TVAE,0.388,0.4415,0.388,0.4072,0.5095,22.0572,0.0185,0.0189,0.2,,,,300.0,974477.0,260402
DecisionTree,CTGAN,0.3892,0.4484,0.3892,0.4085,,,0.0294,0.0304,0.2,,,,500.0,974477.0,260402
DecisionTree,TVAE,0.4526,0.4675,0.4526,0.4589,0.52,19.7318,0.0642,0.0644,0.2,,,,500.0,974477.0,260402
DecisionTree,CTGAN,0.3739,0.4478,0.3739,0.3975,,,0.026,0.0271,0.2,,,,300,10000,260402
DecisionTree,GaussianCopula,0.3905,0.4258,0.3905,0.4048,,,-0.007,-0.0071,0.2,,,,300,10000,260402
DecisionTree,TVAE,0.4208,0.4583,0.4208,0.4352,0.5145,20.8762,0.0466,0.0473,0.2,,,,300,10000,260402
