Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5972,0.5868,0.5972,0.5916,0.5127,14.5176,0.0261,0.0262
DecisionTree,Original,0.7917,0.7892,0.7917,0.7903,0.7482,7.5091,0.5028,0.503
KNN,CTGAN,0.6806,0.6224,0.6806,0.6188,0.5422,3.6887,0.0697,0.0876
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,CTGAN,0.6875,0.4808,0.6875,0.5658,0.577,0.6274,-0.0138,-0.0555
LogisticRegression,Original,0.8472,0.8588,0.8472,0.8339,0.7905,0.4473,0.5934,0.6293
RandomForest,CTGAN,0.6944,0.4823,0.6944,0.5692,0.6095,0.6184,0.0,0.0
RandomForest,Original,0.8403,0.8473,0.8403,0.8274,0.8187,0.4355,0.578,0.6083
SVM,CTGAN,0.6875,0.4808,0.6875,0.5658,,,-0.0138,-0.0555
SVM,Original,0.6944,0.4823,0.6944,0.5692,,,0.0,0.0
