epochs,Dataset,Model,Accuracy
20.0,CTGAN,DecisionTree,0.377
40.0,CTGAN,DecisionTree,0.3760333333333333
40.0,TVAE,DecisionTree,0.6219666666666667
60.0,CTGAN,DecisionTree,0.37876666666666664
60.0,TVAE,DecisionTree,0.6255000000000001
80.0,CTGAN,DecisionTree,0.3588
80.0,TVAE,DecisionTree,0.557225
100.0,CTGAN,DecisionTree,0.3293333333333333
100.0,TVAE,DecisionTree,0.6169666666666668
120.0,CTGAN,DecisionTree,0.38534999999999997
120.0,TVAE,DecisionTree,0.574925
150.0,CTGAN,DecisionTree,0.3569333333333333
150.0,TVAE,DecisionTree,0.5698
200.0,CTGAN,DecisionTree,0.37023333333333336
200.0,TVAE,DecisionTree,0.5913333333333334
250.0,CTGAN,DecisionTree,0.43104
250.0,TVAE,DecisionTree,0.59082
300.0,CTGAN,DecisionTree,0.5345090909090909
300.0,GaussianCopula,DecisionTree,0.4108181818181818
300.0,TVAE,DecisionTree,0.6204818181818182
400.0,CTGAN,DecisionTree,0.5617666666666666
400.0,TVAE,DecisionTree,0.6144666666666666
500.0,CTGAN,DecisionTree,0.54866
500.0,TVAE,DecisionTree,0.60906
750.0,CTGAN,DecisionTree,0.51854
750.0,TVAE,DecisionTree,0.6045200000000001
1000.0,CTGAN,DecisionTree,0.5211
1000.0,TVAE,DecisionTree,0.6315999999999999
