Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5556,0.5719,0.5556,0.5629,0.4955,16.0194,-0.0088,-0.0088
DecisionTree,Original,0.7292,0.7472,0.7292,0.7354,0.7095,9.7618,0.3964,0.4003
KNN,CTGAN,0.6042,0.5681,0.6042,0.5819,0.488,2.8363,-0.0168,-0.0173
KNN,Original,0.6597,0.6276,0.6597,0.6366,0.4986,2.8046,0.1136,0.118
LogisticRegression,CTGAN,0.7014,0.7912,0.7014,0.5851,0.6448,0.6046,0.0313,0.1261
LogisticRegression,Original,0.8403,0.8431,0.8403,0.8294,0.788,0.4495,0.5839,0.6067
RandomForest,CTGAN,0.6736,0.6363,0.6736,0.6428,0.6067,0.622,0.1251,0.1338
RandomForest,Original,0.8194,0.8148,0.8194,0.8155,0.8064,0.482,0.5577,0.5606
SVM,CTGAN,0.6806,0.4793,0.6806,0.5624,N/A,N/A,-0.0273,-0.0787
SVM,Original,0.6944,0.4823,0.6944,0.5692,N/A,N/A,0.0,0.0
