Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.4896,0.5338,0.4896,0.5059,N/A,N/A,-0.0799,-0.0823
DecisionTree,CTGAN,0.5312,0.5355,0.5312,0.5333,N/A,N/A,-0.0811,-0.0811
DecisionTree,GaussianCopula,0.5729,0.569,0.5729,0.5709,N/A,N/A,-0.0031,-0.0031
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,N/A,N/A,0.3978,0.4172
DecisionTree,TVAE,0.7396,0.7242,0.7396,0.7204,N/A,N/A,0.3266,0.342
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,N/A,N/A,0.0231,0.0238
KNN,CTGAN,0.6875,0.6345,0.6875,0.5937,N/A,N/A,0.0476,0.0843
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,N/A,N/A,0.1298,0.1431
KNN,Original,0.6146,0.5719,0.6146,0.5861,N/A,N/A,0.0034,0.0035
KNN,TVAE,0.6771,0.4704,0.6771,0.5551,N/A,N/A,-0.0206,-0.0692
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,N/A,N/A,-0.0543,-0.0812
LogisticRegression,CTGAN,0.6979,0.671,0.6979,0.6141,N/A,N/A,0.0902,0.1454
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,N/A,N/A,0.2296,0.2851
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,N/A,N/A,0.5512,0.5674
LogisticRegression,TVAE,0.5208,0.5995,0.5208,0.5379,N/A,N/A,0.0564,0.0619
RandomForest,Anonymous,0.4375,0.4941,0.4375,0.4573,N/A,N/A,-0.1613,-0.1691
RandomForest,CTGAN,0.6979,0.7901,0.6979,0.5838,N/A,N/A,0.0453,0.1522
RandomForest,GaussianCopula,0.7188,0.7062,0.7188,0.6623,N/A,N/A,0.191,0.2458
RandomForest,Original,0.8229,0.8191,0.8229,0.8157,N/A,N/A,0.5599,0.5693
RandomForest,TVAE,0.7083,0.6986,0.7083,0.7022,N/A,N/A,0.2956,0.2971
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,CTGAN,0.6771,0.4704,0.6771,0.5551,N/A,N/A,-0.0206,-0.0692
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,Original,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,N/A,N/A,0.0,0.0
