epochs,Dataset,Model,Precision
50.0,CTGAN,DecisionTree,0.8215199999999999
50.0,TVAE,DecisionTree,0.8441599999999999
100.0,CTGAN,DecisionTree,0.82202
100.0,TVAE,DecisionTree,0.8428000000000001
200.0,CTGAN,DecisionTree,0.8208399999999999
200.0,TVAE,DecisionTree,0.8411799999999999
300.0,CTGAN,DecisionTree,0.82205
300.0,GaussianCopula,DecisionTree,0.80488
300.0,TVAE,DecisionTree,0.83392
500.0,CTGAN,DecisionTree,0.8232799999999999
500.0,TVAE,DecisionTree,0.82704
750.0,CTGAN,DecisionTree,0.8289799999999999
750.0,TVAE,DecisionTree,0.83256
1000.0,CTGAN,DecisionTree,0.8247199999999999
1000.0,TVAE,DecisionTree,0.8303799999999999
