epochs,Dataset,Model,Accuracy
20.0,CTGAN,DecisionTree,0.38644
20.0,TVAE,DecisionTree,0.4732
40.0,CTGAN,DecisionTree,0.35228000000000004
40.0,TVAE,DecisionTree,0.60784
60.0,CTGAN,DecisionTree,0.37758
60.0,TVAE,DecisionTree,0.58628
80.0,CTGAN,DecisionTree,0.35678
80.0,TVAE,DecisionTree,0.57698
100.0,CTGAN,DecisionTree,0.37801999999999997
100.0,TVAE,DecisionTree,0.5713999999999999
120.0,CTGAN,DecisionTree,0.36236
120.0,TVAE,DecisionTree,0.5948800000000001
150.0,CTGAN,DecisionTree,0.38492000000000004
150.0,TVAE,DecisionTree,0.5882400000000001
200.0,CTGAN,DecisionTree,0.37274
200.0,TVAE,DecisionTree,0.60226
250.0,CTGAN,DecisionTree,0.42138
250.0,TVAE,DecisionTree,0.57108
300.0,CTGAN,DecisionTree,0.49696874999999996
300.0,GaussianCopula,DecisionTree,0.47923125
300.0,TVAE,DecisionTree,0.62140625
400.0,CTGAN,DecisionTree,0.5259
400.0,TVAE,DecisionTree,0.61762
500.0,CTGAN,DecisionTree,0.53872
500.0,TVAE,DecisionTree,0.61792
750.0,CTGAN,DecisionTree,0.50512
750.0,TVAE,DecisionTree,0.611
1000.0,CTGAN,DecisionTree,0.49128
1000.0,TVAE,DecisionTree,0.60542
