epochs,Dataset,Model,Precision
20.0,CTGAN,RandomForest,0.51726
40.0,CTGAN,RandomForest,0.5722400000000001
60.0,CTGAN,RandomForest,0.6138
80.0,CTGAN,RandomForest,0.54652
100.0,CTGAN,RandomForest,0.58534
120.0,CTGAN,RandomForest,0.56798
150.0,CTGAN,RandomForest,0.57618
200.0,CTGAN,RandomForest,0.59928
200.0,TVAE,RandomForest,0.48108000000000006
250.0,CTGAN,RandomForest,0.60356
250.0,TVAE,RandomForest,0.4817
300.0,CTGAN,RandomForest,0.57248125
300.0,GaussianCopula,RandomForest,0.7100125
300.0,TVAE,RandomForest,0.59895
400.0,CTGAN,RandomForest,0.6194200000000001
400.0,TVAE,RandomForest,0.655
500.0,CTGAN,RandomForest,0.54378
500.0,TVAE,RandomForest,0.58666
1000.0,CTGAN,RandomForest,0.61654
1000.0,TVAE,RandomForest,0.7833600000000001
