epochs,Dataset,Model,AUC-ROC
50.0,CTGAN,RandomForest,0.70736
50.0,TVAE,RandomForest,0.72374
100.0,CTGAN,RandomForest,0.70814
100.0,TVAE,RandomForest,0.73114
200.0,CTGAN,RandomForest,0.7016600000000001
200.0,TVAE,RandomForest,0.7346
300.0,CTGAN,RandomForest,0.676
300.0,GaussianCopula,RandomForest,0.6567999999999999
300.0,TVAE,RandomForest,0.72242
500.0,CTGAN,RandomForest,0.70892
500.0,TVAE,RandomForest,0.70868
750.0,CTGAN,RandomForest,0.7266
750.0,TVAE,RandomForest,0.71718
1000.0,CTGAN,RandomForest,0.7199
1000.0,TVAE,RandomForest,0.70114
