epochs,Dataset,Model,Accuracy
20.0,CTGAN,KNN,0.675
40.0,CTGAN,KNN,0.6403
60.0,CTGAN,KNN,0.65834
80.0,CTGAN,KNN,0.6583
100.0,CTGAN,KNN,0.57778
120.0,CTGAN,KNN,0.6694599999999999
150.0,CTGAN,KNN,0.64308
200.0,CTGAN,KNN,0.50834
200.0,TVAE,KNN,0.6944
250.0,CTGAN,KNN,0.67778
250.0,TVAE,KNN,0.6944
300.0,CTGAN,KNN,0.6402
300.0,GaussianCopula,KNN,0.61456875
300.0,TVAE,KNN,0.69310625
400.0,CTGAN,KNN,0.67222
400.0,TVAE,KNN,0.6944
500.0,CTGAN,KNN,0.6514
500.0,TVAE,KNN,0.67502
1000.0,CTGAN,KNN,0.6347400000000001
1000.0,TVAE,KNN,0.64308
