epochs,Dataset,Model,Accuracy
20.0,CTGAN,LogisticRegression,0.50062
20.0,TVAE,LogisticRegression,0.49882
40.0,CTGAN,LogisticRegression,0.37606
40.0,TVAE,LogisticRegression,0.48072
60.0,CTGAN,LogisticRegression,0.51642
60.0,TVAE,LogisticRegression,0.6167199999999999
80.0,CTGAN,LogisticRegression,0.41672000000000003
80.0,TVAE,LogisticRegression,0.60556
100.0,CTGAN,LogisticRegression,0.49172000000000005
100.0,TVAE,LogisticRegression,0.61024
120.0,CTGAN,LogisticRegression,0.32486000000000004
120.0,TVAE,LogisticRegression,0.62622
150.0,CTGAN,LogisticRegression,0.52396
150.0,TVAE,LogisticRegression,0.64532
200.0,CTGAN,LogisticRegression,0.47379999999999994
200.0,TVAE,LogisticRegression,0.67848
250.0,CTGAN,LogisticRegression,0.51506
250.0,TVAE,LogisticRegression,0.658
300.0,CTGAN,LogisticRegression,0.6407625
300.0,GaussianCopula,LogisticRegression,0.56373125
300.0,TVAE,LogisticRegression,0.67574375
400.0,CTGAN,LogisticRegression,0.6732
400.0,TVAE,LogisticRegression,0.67438
500.0,CTGAN,LogisticRegression,0.6702
500.0,TVAE,LogisticRegression,0.68376
750.0,CTGAN,LogisticRegression,0.6381
750.0,TVAE,LogisticRegression,0.70436
1000.0,CTGAN,LogisticRegression,0.6571
1000.0,TVAE,LogisticRegression,0.68494
