Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5124,0.521,0.5124,0.5164,,,0.159,0.1591,0.2,10.0,2.0,0.2,,,
KNN,Anonymous,0.5175,0.497,0.5175,0.505,,,0.1181,0.1188,0.2,10.0,2.0,0.2,,,
LogisticRegression,Anonymous,0.602,0.5249,0.602,0.4843,,,0.0762,0.1342,0.2,10.0,2.0,0.2,,,
RandomForest,Anonymous,0.6086,0.5629,0.6086,0.5644,,,0.211,0.2273,0.2,10.0,2.0,0.2,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.2,,,
DecisionTree,Anonymous,0.5157,0.5235,0.5157,0.5194,,,0.1633,0.1634,0.2,20.0,2.0,0.2,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.2,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.2,,,
RandomForest,Anonymous,0.6066,0.5601,0.6066,0.5629,,,0.2081,0.2237,0.2,20.0,2.0,0.2,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.2,,,
DecisionTree,Anonymous,0.516,0.5245,0.516,0.52,,,0.165,0.1652,0.2,5.0,2.0,0.2,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.2,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.2,,,
RandomForest,Anonymous,0.6083,0.5624,0.6083,0.5646,,,0.2113,0.2273,0.2,5.0,2.0,0.2,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.2,,,
