0 ; 0*  ; 0** ; *
1 ; 1*  ; 1** ; *
2 ; 2*  ; 1** ; *
3 ; 3*  ; 1** ; *
4 ; 4*  ; 1** ; *
5 ; 5*  ; 1** ; *
6 ; 6*  ; 1** ; *
7 ; 7*  ; 1** ; *
8 ; 8*  ; 1** ; *
9 ; 9*  ; 1** ; *
10; 10* ; 0** ; *   
90; 90* ; 0** ; *
99; 90* ; 0** ; *
122;2*  ; 1** ; *
123;2*  ; 1** ; *
125;2*  ; 1** ; *
131;3*  ; 1** ; *
132;3*  ; 1** ; *
134;3*  ; 1** ; *
141;4*  ; 1** ; *
143;4*  ; 1** ; *
144;4*  ; 1** ; *
151;5*  ; 1** ; *
152;5*  ; 1** ; *
153;5*  ; 1** ; *
171;7*  ; 1** ; *
173;7*  ; 1** ; *
175;7*  ; 1** ; *
191;9*  ; 1** ; *  
192;9*  ; 1** ; *
193;9*  ; 1** ; *
194;9*  ; 1** ; *
