0 ; 0*  ; 0**  ; *
1 ; 1*  ; 1**  ; *
2 ; 2*  ; 1**  ; *
3 ; 3*  ; 1**  ; *
4 ; 4*  ; 1**  ; *
5 ; 5*  ; 1**  ; *
6 ; 6*  ; 1**  ; *
7 ; 7*  ; 1**  ; *
8 ; 8*  ; 1**  ; *
9 ; 9*  ; 1**  ; *
10; 10* ; 10** ; *
90; 90* ; 90** ; *
99; 90* ; 90** ; *
101;10* ; 10** ; *
102;10* ; 10** ; *
103;10* ; 10** ; *
112;1*  ; 1**  ; *
114;1*  ; 1**  ; *
121;2*  ; 1**  ; *
122;2*  ; 1**  ; *
123;2*  ; 1**  ; *
124;2*  ; 1**  ; *
131;3*  ; 1**  ; *
132;3*  ; 1**  ; *
134;3*  ; 1**  ; *
135;3*  ; 1**  ; *
141;4*  ; 1**  ; *
143;4*  ; 1**  ; *
144;4*  ; 1**  ; *
151;5*  ; 1**  ; *
152;5*  ; 1**  ; *
153;5*  ; 1**  ; *
154;5*  ; 1**  ; *
161;6*  ; 1**  ; *
163;6*  ; 1**  ; *
171;7*  ; 1**  ; *
172;7*  ; 1**  ; *
174;7*  ; 1**  ; *
175;7*  ; 1**  ; *
181;8*  ; 1**  ; *
182;8*  ; 1**  ; *
183;8*  ; 1**  ; *
192;9*  ; 1**  ; *
193;9*  ; 1**  ; *
194;9*  ; 1**  ; *
195;9*  ; 1**  ; *
