17;[17, 19[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
18;[17, 19[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
19;[19, 21[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
20;[19, 21[;[17, 21[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
21;[21, 23[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
22;[21, 23[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
23;[23, 25[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
24;[23, 25[;[21, 25[;[17, 25[;[17, 33[;[17, 49[;[17, 71[
25;[25, 27[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
26;[25, 27[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
27;[27, 29[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
28;[27, 29[;[25, 29[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
29;[29, 31[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
30;[29, 31[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
31;[31, 33[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
32;[31, 33[;[29, 33[;[25, 33[;[17, 33[;[17, 49[;[17, 71[
33;[33, 35[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
34;[33, 35[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
35;[35, 37[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
36;[35, 37[;[33, 37[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
37;[37, 39[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
38;[37, 39[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
39;[39, 41[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
40;[39, 41[;[37, 41[;[33, 41[;[33, 49[;[17, 49[;[17, 71[
41;[41, 43[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
42;[41, 43[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
43;[43, 45[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
44;[43, 45[;[41, 45[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
45;[45, 47[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
46;[45, 47[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
47;[47, 49[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
48;[47, 49[;[45, 49[;[41, 49[;[33, 49[;[17, 49[;[17, 71[
49;[49, 51[;[49, 53[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
50;[49, 51[;[49, 53[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
51;[51, 53[;[49, 53[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
52;[51, 53[;[49, 53[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
53;[53, 55[;[53, 57[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
54;[53, 55[;[53, 57[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
55;[55, 57[;[53, 57[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
56;[55, 57[;[53, 57[;[49, 57[;[49, 65[;[49, 71[;[17, 71[
57;[57, 59[;[57, 61[;[57, 65[;[49, 65[;[49, 71[;[17, 71[
58;[57, 59[;[57, 61[;[57, 65[;[49, 65[;[49, 71[;[17, 71[
59;[59, 61[;[57, 61[;[57, 65[;[49, 65[;[49, 71[;[17, 71[
60;[59, 61[;[57, 61[;[57, 65[;[49, 65[;[49, 71[;[17, 71[
61;[61, 63[;[61, 65[;[49, 65[;[49, 71[;[49, 71[;[17, 71[
62;[61, 63[;[61, 65[;[49, 65[;[49, 71[;[49, 71[;[17, 71[
63;[63, 65[;[61, 65[;[49, 65[;[49, 71[;[49, 71[;[17, 71[
64;[63, 65[;[61, 65[;[49, 65[;[49, 71[;[49, 71[;[17, 71[
65;[65, 67[;[65, 69[;[65, 71[;[49, 71[;[49, 71[;[17, 71[
66;[65, 67[;[65, 69[;[65, 71[;[49, 71[;[49, 71[;[17, 71[
67;[67, 69[;[65, 69[;[65, 71[;[49, 71[;[49, 71[;[17, 71[
68;[67, 69[;[65, 69[;[65, 71[;[49, 71[;[49, 71[;[17, 71[
69;[69, 71[;[69, 71[;[65, 71[;[49, 71[;[49, 71[;[17, 71[
70;[69, 71[;[69, 71[;[65, 71[;[49, 71[;[49, 71[;[17, 71[
