0;0-4;0-9;0-19;*
1;0-4;0-9;0-19;*
2;0-4;0-9;0-19;*
3;0-4;0-9;0-19;*
4;0-4;0-9;0-19;*
5;5-9;0-9;0-19;*
6;5-9;0-9;0-19;*
7;5-9;0-9;0-19;*
8;5-9;0-9;0-19;*
9;5-9;0-9;0-19;*
10;10-14;10-19;0-19;*
11;10-14;10-19;0-19;*
12;10-14;10-19;0-19;*
13;10-14;10-19;0-19;*
14;10-14;10-19;0-19;*
15;15-19;10-19;0-19;*
16;15-19;10-19;0-19;*
17;15-19;10-19;0-19;*
18;15-19;10-19;0-19;*
19;15-19;10-19;0-19;*
20;20-24;20-29;20-39;*
21;20-24;20-29;20-39;*
22;20-24;20-29;20-39;*
23;20-24;20-29;20-39;*
24;20-24;20-29;20-39;*
25;25-29;20-29;20-39;*
26;25-29;20-29;20-39;*
27;25-29;20-29;20-39;*
28;25-29;20-29;20-39;*
29;25-29;20-29;20-39;*
30;30-34;30-39;20-39;*
31;30-34;30-39;20-39;*
32;30-34;30-39;20-39;*
33;30-34;30-39;20-39;*
34;30-34;30-39;20-39;*
35;35-39;30-39;20-39;*
36;35-39;30-39;20-39;*
37;35-39;30-39;20-39;*
38;35-39;30-39;20-39;*
39;35-39;30-39;20-39;*
40;40-44;40-49;40-59;*
41;40-44;40-49;40-59;*
42;40-44;40-49;40-59;*
43;40-44;40-49;40-59;*
44;40-44;40-49;40-59;*
45;45-49;40-49;40-59;*
46;45-49;40-49;40-59;*
47;45-49;40-49;40-59;*
48;45-49;40-49;40-59;*
49;45-49;40-49;40-59;*
50;50-54;50-59;40-59;*
51;50-54;50-59;40-59;*
52;50-54;50-59;40-59;*
53;50-54;50-59;40-59;*
54;50-54;50-59;40-59;*
55;55-59;50-59;40-59;*
56;55-59;50-59;40-59;*
57;55-59;50-59;40-59;*
58;55-59;50-59;40-59;*
59;55-59;50-59;40-59;*
60;60-64;60-69;60-79;*
61;60-64;60-69;60-79;*
