epochs,Dataset,Model,Precision
20.0,CTGAN,LogisticRegression,0.35933333333333334
40.0,CTGAN,LogisticRegression,0.37423333333333336
40.0,TVAE,LogisticRegression,0.5074
60.0,CTGAN,LogisticRegression,0.3789666666666667
60.0,TVAE,LogisticRegression,0.5788
80.0,CTGAN,LogisticRegression,0.368275
80.0,TVAE,LogisticRegression,0.5418000000000001
100.0,CTGAN,LogisticRegression,0.2048
100.0,TVAE,LogisticRegression,0.5632333333333334
120.0,CTGAN,LogisticRegression,0.40965
120.0,TVAE,LogisticRegression,0.579725
150.0,CTGAN,LogisticRegression,0.39349999999999996
150.0,TVAE,LogisticRegression,0.5900333333333333
200.0,CTGAN,LogisticRegression,0.30363333333333337
200.0,TVAE,LogisticRegression,0.6403333333333333
250.0,CTGAN,LogisticRegression,0.5414399999999999
250.0,TVAE,LogisticRegression,0.6543
300.0,CTGAN,LogisticRegression,0.5844636363636364
300.0,GaussianCopula,LogisticRegression,0.5356272727272727
300.0,TVAE,LogisticRegression,0.6788272727272727
400.0,CTGAN,LogisticRegression,0.5535666666666667
400.0,TVAE,LogisticRegression,0.6758333333333333
500.0,CTGAN,LogisticRegression,0.60814
500.0,TVAE,LogisticRegression,0.65726
750.0,CTGAN,LogisticRegression,0.60212
750.0,TVAE,LogisticRegression,0.66918
1000.0,CTGAN,LogisticRegression,0.6019
1000.0,TVAE,LogisticRegression,0.6898
