epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,RandomForest,0.56162
40.0,CTGAN,RandomForest,0.5017400000000001
60.0,CTGAN,RandomForest,0.5964400000000001
80.0,CTGAN,RandomForest,0.5856
100.0,CTGAN,RandomForest,0.47287999999999997
120.0,CTGAN,RandomForest,0.54254
150.0,CTGAN,RandomForest,0.52626
200.0,CTGAN,RandomForest,0.46784
200.0,TVAE,RandomForest,0.5293
250.0,CTGAN,RandomForest,0.56292
250.0,TVAE,RandomForest,0.5385
300.0,CTGAN,RandomForest,0.51135625
300.0,GaussianCopula,RandomForest,0.7150125
300.0,TVAE,RandomForest,0.56878125
400.0,CTGAN,RandomForest,0.5422399999999999
400.0,TVAE,RandomForest,0.52132
500.0,CTGAN,RandomForest,0.47569999999999996
500.0,TVAE,RandomForest,0.7664
1000.0,CTGAN,RandomForest,0.6129800000000001
1000.0,TVAE,RandomForest,0.76544
