Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
DecisionTree,Anonymous,0.5189,0.5251,0.5189,0.5218,,,0.1666,0.1667,0.2,10.0,2.0,0.01,,,
KNN,Anonymous,0.5172,0.4967,0.5172,0.5048,,,0.1178,0.1184,0.2,10.0,2.0,0.01,,,
LogisticRegression,Anonymous,0.6028,0.5204,0.6028,0.5149,,,0.1314,0.1669,0.2,10.0,2.0,0.01,,,
RandomForest,Anonymous,0.6078,0.5617,0.6078,0.5656,,,0.2134,0.2285,0.2,10.0,2.0,0.01,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,10.0,2.0,0.01,,,
DecisionTree,Anonymous,0.5164,0.5239,0.5164,0.5199,,,0.1642,0.1643,0.2,20.0,2.0,0.01,,,
KNN,Anonymous,0.5173,0.4967,0.5173,0.5048,,,0.1178,0.1184,0.2,20.0,2.0,0.01,,,
LogisticRegression,Anonymous,0.6003,0.5236,0.6003,0.4777,,,0.0652,0.1242,0.2,20.0,2.0,0.01,,,
RandomForest,Anonymous,0.6077,0.5613,0.6077,0.5647,,,0.2116,0.2271,0.2,20.0,2.0,0.01,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,20.0,2.0,0.01,,,
DecisionTree,Anonymous,0.5158,0.523,0.5158,0.5193,,,0.1628,0.1629,0.2,5.0,2.0,0.01,,,
KNN,Anonymous,0.5176,0.4971,0.5176,0.5051,,,0.1183,0.119,0.2,5.0,2.0,0.01,,,
LogisticRegression,Anonymous,0.6034,0.5221,0.6034,0.4949,,,0.0946,0.1465,0.2,5.0,2.0,0.01,,,
RandomForest,Anonymous,0.6087,0.5645,0.6087,0.5652,,,0.212,0.2281,0.2,5.0,2.0,0.01,,,
SVM,Anonymous,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,5.0,2.0,0.01,,,
