epochs,Dataset,Model,F1
20.0,CTGAN,RandomForest,0.39076
20.0,TVAE,RandomForest,0.35146
40.0,CTGAN,RandomForest,0.35296
40.0,TVAE,RandomForest,0.59676
60.0,CTGAN,RandomForest,0.3961
60.0,TVAE,RandomForest,0.6048199999999999
80.0,CTGAN,RandomForest,0.3468
80.0,TVAE,RandomForest,0.6099399999999999
100.0,CTGAN,RandomForest,0.36318
100.0,TVAE,RandomForest,0.63144
120.0,CTGAN,RandomForest,0.24182
120.0,TVAE,RandomForest,0.6218199999999999
150.0,CTGAN,RandomForest,0.42157999999999995
150.0,TVAE,RandomForest,0.63934
200.0,CTGAN,RandomForest,0.35218
200.0,TVAE,RandomForest,0.6536000000000001
250.0,CTGAN,RandomForest,0.3832
250.0,TVAE,RandomForest,0.66542
300.0,CTGAN,RandomForest,0.56349375
300.0,GaussianCopula,RandomForest,0.54125
300.0,TVAE,RandomForest,0.6665125
400.0,CTGAN,RandomForest,0.5899
400.0,TVAE,RandomForest,0.65892
500.0,CTGAN,RandomForest,0.5926
500.0,TVAE,RandomForest,0.69664
750.0,CTGAN,RandomForest,0.6201399999999999
750.0,TVAE,RandomForest,0.71282
1000.0,CTGAN,RandomForest,0.60092
1000.0,TVAE,RandomForest,0.70294
