Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs,k_anonymity
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,2
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,2
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,2
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,2
RandomForest,Anonymous,0.55,0.5566,0.55,0.5532,,,-0.0395,-0.0395,1,2
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,2
RandomForest,GaussianCopula,0.7042,0.6715,0.7042,0.6461,,,0.1427,0.1811,1,2
RandomForest,Original,0.8208,0.8168,0.8208,0.8125,,,0.5478,0.559,1,2
RandomForest,TVAE,0.525,0.5699,0.525,0.5409,,,-0.008,-0.0082,1,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,3
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,3
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,3
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,3
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,3
RandomForest,Anonymous,0.5583,0.5583,0.5583,0.5583,,,-0.0355,-0.0355,1,3
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,3
RandomForest,GaussianCopula,0.7042,0.6745,0.7042,0.6332,,,0.1182,0.1673,1,3
RandomForest,Original,0.8042,0.7986,0.8042,0.7938,,,0.5017,0.5146,1,3
RandomForest,TVAE,0.5042,0.5892,0.5042,0.5224,,,0.03,0.0333,1,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,1,5
KNN,CTGAN,0.6625,0.5465,0.6625,0.5704,,,-0.0255,-0.0402,1,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,1,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,1,5
KNN,TVAE,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,1,5
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,1,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,1,5
LogisticRegression,TVAE,0.5417,0.5612,0.5417,0.5503,,,-0.0284,-0.0285,1,5
RandomForest,Anonymous,0.5583,0.5616,0.5583,0.5599,,,-0.0278,-0.0278,1,5
RandomForest,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,1,5
RandomForest,GaussianCopula,0.6917,0.6433,0.6917,0.6201,,,0.0853,0.1182,1,5
RandomForest,Original,0.8042,0.7994,0.8042,0.7925,,,0.4976,0.5134,1,5
RandomForest,TVAE,0.4958,0.5523,0.4958,0.5143,,,-0.0451,-0.0473,1,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,2
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,2
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,2
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,2
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,2
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,2
RandomForest,Anonymous,0.5375,0.5459,0.5375,0.5415,,,-0.0644,-0.0645,2,2
RandomForest,CTGAN,0.7042,0.6855,0.7042,0.6181,,,0.0923,0.1557,2,2
RandomForest,GaussianCopula,0.6875,0.6268,0.6875,0.6022,,,0.0504,0.0794,2,2
RandomForest,Original,0.8042,0.8018,0.8042,0.7897,,,0.4892,0.5117,2,2
RandomForest,TVAE,0.5458,0.5441,0.5458,0.545,,,-0.0688,-0.0688,2,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,3
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,3
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,3
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,3
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,3
RandomForest,Anonymous,0.5375,0.5358,0.5375,0.5366,,,-0.0884,-0.0884,2,3
RandomForest,CTGAN,0.6875,0.6191,0.6875,0.5907,,,0.0316,0.0582,2,3
RandomForest,GaussianCopula,0.7375,0.7434,0.7375,0.6823,,,0.2322,0.3041,2,3
RandomForest,Original,0.7958,0.7891,0.7958,0.785,,,0.4805,0.4928,2,3
RandomForest,TVAE,0.5333,0.5435,0.5333,0.5381,,,-0.0701,-0.0702,2,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,2,5
KNN,CTGAN,0.625,0.589,0.625,0.6014,,,0.034,0.0352,2,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,2,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,2,5
KNN,TVAE,0.675,0.5541,0.675,0.5712,,,-0.0121,-0.0235,2,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,2,5
LogisticRegression,CTGAN,0.6917,0.4784,0.6917,0.5656,,,0.0,0.0,2,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,2,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2,5
LogisticRegression,TVAE,0.5583,0.5481,0.5583,0.5529,,,-0.0593,-0.0594,2,5
RandomForest,Anonymous,0.55,0.5533,0.55,0.5516,,,-0.0472,-0.0472,2,5
RandomForest,CTGAN,0.6833,0.5548,0.6833,0.5688,,,-0.0062,-0.0164,2,5
RandomForest,GaussianCopula,0.7,0.6636,0.7,0.6303,,,0.11,0.1524,2,5
RandomForest,Original,0.8083,0.8038,0.8083,0.7976,,,0.5103,0.5249,2,5
RandomForest,TVAE,0.5125,0.5281,0.5125,0.5197,,,-0.1057,-0.1061,2,5
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,2
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,2
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,2
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,2
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,2
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,2
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,2
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,2
