Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.8024,0.8374,0.8024,0.8178,0.6216,7.1226,0.2028,0.2077
DecisionTree,Original,0.8736,0.8749,0.8736,0.8742,0.6993,4.5558,0.3945,0.3945
DecisionTree,TVAE,0.8171,0.8562,0.8171,0.8333,0.6763,6.5925,0.2848,0.2942
KNN,CTGAN,0.8623,0.8377,0.8623,0.8475,0.7051,1.3795,0.1994,0.2067
KNN,Original,0.8821,0.8614,0.8821,0.8678,0.753,1.5055,0.3004,0.3144
KNN,TVAE,0.8284,0.8365,0.8284,0.8323,0.7264,2.1226,0.2077,0.2081
LogisticRegression,CTGAN,0.8954,0.8764,0.8954,0.877,0.8402,0.283,0.3322,0.3654
LogisticRegression,Original,0.9009,0.8857,0.9009,0.8866,0.8977,0.2487,0.3931,0.4191
LogisticRegression,TVAE,0.8821,0.8886,0.8821,0.8851,0.8864,0.3574,0.4588,0.4598
RandomForest,CTGAN,0.8919,0.8698,0.8919,0.8702,0.8288,0.289,0.288,0.3263
RandomForest,Original,0.9047,0.8915,0.9047,0.8926,0.9265,0.2217,0.4297,0.4517
RandomForest,TVAE,0.882,0.8727,0.882,0.8767,0.8547,0.3491,0.3788,0.3813
