Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4074,0.4115,0.4074,0.4091,0.5192,21.3602,0.0428,0.0429
DecisionTree,Original,0.6845,0.7027,0.6845,0.6919,0.7423,11.3722,0.4972,0.4986
DecisionTree,TVAE,0.6017,0.634,0.6017,0.6,0.6763,14.3578,0.3699,0.3843
KNN,CTGAN,0.3863,0.3808,0.3863,0.3822,0.4968,5.1782,-0.0032,-0.0032
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE,0.5565,0.5175,0.5565,0.5229,0.652,8.1953,0.2496,0.2571
LogisticRegression,CTGAN,0.4932,0.3296,0.4932,0.3363,0.4852,1.0427,-0.0039,-0.0132
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE,0.677,0.6561,0.677,0.6413,0.7806,1.544,0.4547,0.4689
RandomForest,CTGAN,0.4895,0.3691,0.4895,0.3819,0.5086,1.041,0.0184,0.0278
RandomForest,Original,0.7846,0.7723,0.7846,0.7705,0.8905,0.5729,0.6349,0.6429
RandomForest,TVAE,0.677,0.6517,0.677,0.6407,0.8304,1.2761,0.4627,0.4833
