Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,rows_generated_at_runtime
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,100.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,100.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,1000.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,1000.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,500.0,974477.0,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,500.0,974477.0,260402
SVM,CTGAN,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
SVM,GaussianCopula,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
SVM,TVAE,0.5888,0.3467,0.5888,0.4364,,,0.0,0.0,0.2,,,,300,10000,260402
