Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.3411,0.3675,0.3411,0.3515,0.4837,23.7486,-0.0293,-0.0296
DecisionTree,Original,0.6785,0.6959,0.6785,0.6859,0.7347,11.5893,0.4869,0.4881
DecisionTree,TVAE,0.6062,0.6001,0.6062,0.599,0.6633,14.1949,0.3567,0.3596
KNN,CTGAN,0.4142,0.4211,0.4142,0.4115,0.541,4.4505,0.0575,0.0586
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE,0.5429,0.4753,0.5429,0.4845,0.6067,11.1445,0.171,0.1898
LogisticRegression,CTGAN,0.4789,0.3864,0.4789,0.3364,0.4591,1.0366,-0.0249,-0.0578
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE,0.616,0.5965,0.616,0.5866,0.754,2.3678,0.3671,0.3829
RandomForest,CTGAN,0.4601,0.369,0.4601,0.3778,0.4948,1.0437,-0.0126,-0.0158
RandomForest,Original,0.7733,0.7586,0.7733,0.7589,0.8854,0.6309,0.6163,0.6235
RandomForest,TVAE,0.6574,0.7103,0.6574,0.604,0.7943,1.3728,0.4234,0.4522
