Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,CTGAN,0.6016,0.6587,0.6016,0.6164,,,0.1803,0.1902,,,,,,
DecisionTree,GaussianCopula,0.561,0.5794,0.561,0.569,,,0.0148,0.0149,,,,,,
DecisionTree,Original,0.7236,0.7601,0.7236,0.7327,,,0.4125,0.4251,,,,,,
DecisionTree,TVAE,0.7561,0.7561,0.7561,0.7561,,,0.4288,0.4288,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.4959,0.5524,0.4959,0.5144,,,-0.0438,-0.046,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6388,0.6911,0.6032,,,0.0569,0.0936,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6179,0.6551,0.6179,0.63,,,0.1824,0.1873,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6992,0.6627,0.6992,0.6447,,,0.1389,0.1708,,,,,,
RandomForest,Anonymous,0.6098,0.5724,0.6098,0.586,,,-0.0014,-0.0014,,,,,,
RandomForest,CTGAN,0.5935,0.6347,0.5935,0.6069,,,0.136,0.1402,,,,,,
RandomForest,GaussianCopula,0.7073,0.6807,0.7073,0.6426,,,0.1392,0.1874,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6829,0.4758,0.6829,0.5609,,,-0.0161,-0.0605,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
