epochs,Dataset,Model,Precision
20.0,CTGAN,KNN,0.38922
20.0,TVAE,KNN,0.2492
40.0,CTGAN,KNN,0.34918
40.0,TVAE,KNN,0.43604000000000004
60.0,CTGAN,KNN,0.40304
60.0,TVAE,KNN,0.47626
80.0,CTGAN,KNN,0.3751
80.0,TVAE,KNN,0.48125999999999997
100.0,CTGAN,KNN,0.38744
100.0,TVAE,KNN,0.52146
120.0,CTGAN,KNN,0.37001999999999996
120.0,TVAE,KNN,0.51884
150.0,CTGAN,KNN,0.39356
150.0,TVAE,KNN,0.51074
200.0,CTGAN,KNN,0.38595999999999997
200.0,TVAE,KNN,0.51244
250.0,CTGAN,KNN,0.39459999999999995
250.0,TVAE,KNN,0.5293
300.0,CTGAN,KNN,0.45819375
300.0,GaussianCopula,KNN,0.40831249999999997
300.0,TVAE,KNN,0.51846875
400.0,CTGAN,KNN,0.47379999999999994
400.0,TVAE,KNN,0.51818
500.0,CTGAN,KNN,0.46769999999999995
500.0,TVAE,KNN,0.52696
750.0,CTGAN,KNN,0.47953999999999997
750.0,TVAE,KNN,0.52866
1000.0,CTGAN,KNN,0.49294000000000004
1000.0,TVAE,KNN,0.53712
