Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.6023,0.6319,0.6023,0.6136,N/A,N/A,0.3744,0.3771
DecisionTree,CTGAN,0.5469,0.5475,0.5469,0.5448,N/A,N/A,0.254,0.2552
DecisionTree,GaussianCopula,0.3774,0.3809,0.3774,0.3788,N/A,N/A,-0.0028,-0.0028
DecisionTree,Original,0.7017,0.703,0.7017,0.7022,N/A,N/A,0.5149,0.515
DecisionTree,TVAE,0.6147,0.6338,0.6147,0.6167,N/A,N/A,0.3888,0.3946
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,N/A,N/A,0.4515,0.4526
KNN,CTGAN,0.4938,0.4546,0.4938,0.4664,N/A,N/A,0.1289,0.132
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,N/A,N/A,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,N/A,N/A,0.3,0.3007
KNN,TVAE,0.5322,0.5021,0.5322,0.512,N/A,N/A,0.2047,0.2076
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,N/A,N/A,0.5838,0.5848
LogisticRegression,CTGAN,0.6599,0.583,0.6599,0.5926,N/A,N/A,0.3818,0.4234
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,N/A,N/A,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,N/A,N/A,0.5716,0.5815
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,N/A,N/A,0.4655,0.4682
RandomForest,Anonymous,0.7582,0.7397,0.7582,0.7391,N/A,N/A,0.5913,0.5982
RandomForest,CTGAN,0.6723,0.5984,0.6723,0.6156,N/A,N/A,0.4193,0.4435
RandomForest,GaussianCopula,0.5345,0.4676,0.5345,0.4824,N/A,N/A,0.1793,0.1923
RandomForest,Original,0.7706,0.7562,0.7706,0.7573,N/A,N/A,0.613,0.6189
RandomForest,TVAE,0.6768,0.673,0.6768,0.6669,N/A,N/A,0.474,0.4808
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,N/A,N/A,0.0189,0.0407
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,N/A,N/A,0.0189,0.0407
